vehicleId, time, type, last state, creationStep, lastStep, traveledDistance, emergencyBrakes
normal_0.203,225,Car,FINISHED,664,889,4554.692028020881,0,
normal_2.296,177,Car,FINISHED,740,917,4562.513625036839,0,
normal_0.202,197,Car,FINISHED,659,856,4561.058250904583,0,
normal_2.295,177,Car,FINISHED,738,915,4552.921415781061,0,
normal_0.201,201,Car,FINISHED,657,858,4548.922515771673,0,
normal_2.294,178,Car,FINISHED,735,913,4542.265858872263,0,
normal_0.200,209,Car,FINISHED,651,860,4560.197056579915,0,
normal_2.293,179,Car,FINISHED,733,912,4567.012429826842,0,
normal_2.299,179,Car,FINISHED,748,927,4560.448822508864,0,
normal_2.298,175,Car,FINISHED,745,920,4547.050262282393,0,
normal_2.297,175,Car,FINISHED,743,918,4538.162787578658,0,
normal_1.248,188,Car,FINISHED,620,808,4537.811584686147,0,
normal_2.292,180,Car,FINISHED,730,910,4560.494378218701,0,
normal_1.247,202,Car,FINISHED,618,820,4561.167824293051,0,
normal_2.291,180,Car,FINISHED,728,908,4553.765294480884,0,
normal_2.290,180,Car,FINISHED,725,905,4538.513844576955,0,
normal_1.249,200,Car,FINISHED,623,823,4544.706813546291,0,
normal_1.255,200,Car,FINISHED,638,838,4566.281695189127,0,
normal_1.254,200,Car,FINISHED,635,835,4547.757498605763,0,
normal_1.257,198,Car,FINISHED,643,841,4549.878182413422,0,
normal_1.256,185,Car,FINISHED,640,825,4548.492136926309,0,
normal_1.251,203,Car,FINISHED,628,831,4546.54950091494,0,
normal_1.250,203,Car,FINISHED,626,829,4543.238911897184,0,
normal_1.253,200,Car,FINISHED,633,833,4543.954509152732,0,
normal_1.252,215,Car,FINISHED,630,845,4543.599111817876,0,
normal_0.214,198,Car,FINISHED,697,895,4548.781516726099,0,
normal_2.285,178,Car,FINISHED,715,893,4550.571555771762,0,
normal_0.213,194,Car,FINISHED,695,889,4542.061982447213,0,
normal_2.284,179,Car,FINISHED,712,891,4543.446624565488,0,
normal_0.212,211,Car,FINISHED,690,901,4546.804284327547,0,
normal_2.283,196,Car,FINISHED,708,904,4567.892168062894,0,
normal_0.211,220,Car,FINISHED,688,908,4557.278766920403,0,
normal_2.282,178,Car,FINISHED,706,884,4543.981503642595,0,
normal_0.210,220,Car,FINISHED,683,903,4564.024102112896,0,
normal_2.289,181,Car,FINISHED,723,904,4563.445020182853,0,
normal_2.288,181,Car,FINISHED,721,902,4556.790703339177,0,
normal_2.287,181,Car,FINISHED,719,900,4552.79921228277,0,
normal_2.286,178,Car,FINISHED,717,895,4559.320958239914,0,
normal_1.237,218,Car,FINISHED,596,814,4548.451177937798,0,
normal_2.281,196,Car,FINISHED,703,899,4556.679949047861,0,
normal_1.479,0,Car,NOT_SYNCHRONIZED,1199,1199,0.0,0,
normal_1.236,190,Car,FINISHED,594,784,4548.830045367342,0,
normal_2.280,181,Car,FINISHED,700,881,4562.110230729733,0,
normal_1.478,4,Car,NOT_SYNCHRONIZED,1195,1199,106.26421834333121,0,
normal_1.239,193,Car,FINISHED,600,793,4544.334881043879,0,
normal_1.238,179,Car,FINISHED,598,777,4555.0078076873515,0,
normal_1.244,187,Car,FINISHED,611,798,4553.1388817751085,0,
normal_1.243,198,Car,FINISHED,609,807,4542.809056506113,0,
normal_1.246,199,Car,FINISHED,615,814,4545.9114455290555,0,
normal_1.245,203,Car,FINISHED,613,816,4552.791820579708,0,
normal_1.240,196,Car,FINISHED,602,798,4547.647171237986,0,
normal_1.242,181,Car,FINISHED,607,788,4567.374266647199,0,
normal_1.241,197,Car,FINISHED,605,802,4557.662638946795,0,
normal_0.209,196,Car,FINISHED,682,878,4542.164087072446,0,
normal_0.208,206,Car,FINISHED,678,884,4555.053845853025,0,
normal_2.279,181,Car,FINISHED,698,879,4554.09448513473,0,
normal_0.207,193,Car,FINISHED,677,870,4556.599132421899,0,
normal_0.206,222,Car,FINISHED,672,894,4552.892664021765,0,
normal_0.205,207,Car,FINISHED,670,877,4564.6011499565775,0,
normal_0.204,196,Car,FINISHED,666,862,4548.866542150766,0,
normal_0.225,231,Car,FINISHED,733,964,4549.742189808238,0,
normal_0.224,200,Car,FINISHED,728,928,4541.882178094174,0,
normal_0.223,190,Car,FINISHED,726,916,4539.490580461411,0,
normal_0.222,204,Car,FINISHED,721,925,4547.083603272924,0,
normal_0.221,211,Car,FINISHED,719,930,4557.80326686005,0,
normal_0.220,193,Car,FINISHED,716,909,4541.980879156338,0,
normal_1.269,207,Car,FINISHED,673,880,4553.364269911681,0,
normal_1.277,193,Car,FINISHED,693,886,4558.920257370861,0,
normal_1.276,181,Car,FINISHED,690,871,4563.812731567216,0,
normal_1.279,193,Car,FINISHED,698,891,4550.589639608602,0,
normal_1.278,193,Car,FINISHED,695,888,4566.815770567146,0,
normal_1.273,195,Car,FINISHED,685,880,4544.3562890420035,0,
normal_1.272,180,Car,FINISHED,681,861,4542.478113097772,0,
normal_1.275,183,Car,FINISHED,689,872,4539.506011316861,0,
normal_1.274,195,Car,FINISHED,687,882,4549.3682412016715,0,
normal_1.271,195,Car,FINISHED,679,874,4553.03642536931,0,
normal_1.270,193,Car,FINISHED,675,868,4549.180012983424,0,
normal_0.219,220,Car,FINISHED,714,934,4560.039301236915,0,
normal_0.218,196,Car,FINISHED,709,905,4546.3203307805625,0,
normal_0.217,239,Car,FINISHED,707,946,4557.956906730747,0,
normal_0.216,182,Car,FINISHED,704,886,4552.205669129816,0,
normal_0.215,205,Car,FINISHED,702,907,4550.561964427017,0,
normal_0.236,184,Car,FINISHED,768,952,4566.721845032211,0,
normal_0.235,234,Car,FINISHED,766,1000,4548.27061485078,0,
normal_0.234,194,Car,FINISHED,761,955,4554.327990565503,0,
normal_0.233,198,Car,FINISHED,759,957,4561.558279327675,0,
normal_0.232,225,Car,FINISHED,754,979,4556.002045290452,0,
normal_0.231,240,Car,FINISHED,752,992,4555.169880622145,0,
normal_0.230,207,Car,FINISHED,746,953,4551.171106676631,0,
normal_1.259,197,Car,FINISHED,648,845,4553.69037535618,0,
normal_1.258,198,Car,FINISHED,645,843,4547.951658597607,0,
normal_1.266,182,Car,FINISHED,665,847,4552.922618630611,0,
normal_1.265,186,Car,FINISHED,663,849,4560.514303498279,0,
normal_1.268,201,Car,FINISHED,671,872,4564.268005519994,0,
normal_1.267,197,Car,FINISHED,669,866,4546.387097816423,0,
normal_1.262,194,Car,FINISHED,655,849,4560.215390389758,0,
normal_1.261,194,Car,FINISHED,653,847,4555.020814799308,0,
normal_1.264,194,Car,FINISHED,660,854,4552.98768851013,0,
normal_1.263,194,Car,FINISHED,658,852,4543.75316942232,0,
normal_1.260,184,Car,FINISHED,650,834,4565.950384528397,0,
normal_0.229,215,Car,FINISHED,744,959,4563.4632895543255,0,
normal_0.228,192,Car,FINISHED,740,932,4554.033663739725,0,
normal_0.227,224,Car,FINISHED,738,962,4541.931874730416,0,
normal_0.226,231,Car,FINISHED,735,966,4552.159917299086,0,
normal_2.252,186,Car,FINISHED,630,816,4544.700555607781,0,
normal_2.251,187,Car,FINISHED,628,815,4566.534732214903,0,
normal_2.250,188,Car,FINISHED,625,813,4564.023741899152,0,
normal_2.256,183,Car,FINISHED,640,823,4540.532802052205,0,
normal_2.255,184,Car,FINISHED,638,822,4564.028248496732,0,
normal_2.254,185,Car,FINISHED,635,820,4556.829656057094,0,
normal_2.253,185,Car,FINISHED,633,818,4550.126952060625,0,
normal_1.208,186,Car,FINISHED,521,707,4551.411677908557,0,
normal_1.207,198,Car,FINISHED,519,717,4553.296402128646,0,
normal_1.449,75,Car,NOT_SYNCHRONIZED,1124,1199,1767.1840011062243,0,
normal_1.209,199,Car,FINISHED,523,722,4562.756324863029,0,
normal_1.204,199,Car,FINISHED,514,713,4543.928348435832,0,
normal_1.446,84,Car,NOT_SYNCHRONIZED,1115,1199,2011.7860274418695,0,
normal_1.203,199,Car,FINISHED,510,709,4553.798527671345,0,
normal_1.445,86,Car,NOT_SYNCHRONIZED,1113,1199,2057.301518089721,0,
normal_1.206,185,Car,FINISHED,517,702,4537.543793864804,0,
normal_1.448,79,Car,NOT_SYNCHRONIZED,1120,1199,1862.208914168098,0,
normal_1.205,200,Car,FINISHED,515,715,4547.962554890114,0,
normal_1.447,81,Car,NOT_SYNCHRONIZED,1118,1199,1967.2718679321283,0,
normal_1.211,198,Car,FINISHED,529,727,4539.055707077806,0,
normal_1.453,66,Car,NOT_SYNCHRONIZED,1133,1199,1578.5500966964876,0,
normal_1.210,199,Car,FINISHED,525,724,4565.92570734431,0,
normal_1.452,69,Car,NOT_SYNCHRONIZED,1130,1199,1674.074147127393,0,
normal_1.213,201,Car,FINISHED,535,736,4553.795657175111,0,
normal_1.455,61,Car,NOT_SYNCHRONIZED,1138,1199,1481.6488081538023,0,
normal_1.212,203,Car,FINISHED,531,734,4552.230461111322,0,
normal_1.454,64,Car,NOT_SYNCHRONIZED,1135,1199,1529.7731535348078,0,
normal_1.451,71,Car,NOT_SYNCHRONIZED,1128,1199,1721.100515136071,0,
normal_1.450,74,Car,NOT_SYNCHRONIZED,1125,1199,1858.4619281011837,0,
normal_2.249,188,Car,FINISHED,623,811,4558.627759570395,0,
normal_2.248,187,Car,FINISHED,620,807,4560.746337595562,0,
normal_2.247,187,Car,FINISHED,618,805,4555.817095653072,0,
normal_2.246,187,Car,FINISHED,616,803,4549.941759185714,0,
normal_2.241,178,Car,FINISHED,603,781,4564.689359793158,0,
normal_2.240,178,Car,FINISHED,601,779,4564.539175198518,0,
normal_2.245,188,Car,FINISHED,613,801,4544.312205025429,0,
normal_2.244,186,Car,FINISHED,610,796,4548.234761885246,0,
normal_2.243,178,Car,FINISHED,608,786,4557.420383605838,0,
normal_2.242,178,Car,FINISHED,606,784,4547.749441753619,0,
normal_1.439,101,Car,NOT_SYNCHRONIZED,1098,1199,2448.3444810394103,0,
normal_1.438,103,Car,NOT_SYNCHRONIZED,1096,1199,2498.141685814343,0,
normal_1.435,111,Car,NOT_SYNCHRONIZED,1088,1199,2642.7449281697554,0,
normal_1.434,113,Car,NOT_SYNCHRONIZED,1086,1199,2692.4745320974557,0,
normal_1.437,106,Car,NOT_SYNCHRONIZED,1093,1199,2594.1494868865093,0,
normal_1.436,109,Car,NOT_SYNCHRONIZED,1090,1199,2772.430445710745,0,
normal_1.200,200,Car,FINISHED,500,700,4546.669121568783,0,
normal_1.442,94,Car,NOT_SYNCHRONIZED,1105,1199,2277.3420449265627,0,
normal_0.19,179,Car,FINISHED,63,242,4557.589847576347,0,
normal_1.441,96,Car,NOT_SYNCHRONIZED,1103,1199,2446.9089022830394,0,
normal_0.18,181,Car,FINISHED,58,239,4552.468391406328,0,
normal_1.202,199,Car,FINISHED,506,705,4540.824013611299,0,
normal_1.444,88,Car,NOT_SYNCHRONIZED,1111,1199,2101.59854558665,0,
normal_0.17,166,Car,FINISHED,57,223,4560.122173223148,0,
normal_1.201,200,Car,FINISHED,504,704,4556.158745426969,0,
normal_1.443,90,Car,NOT_SYNCHRONIZED,1109,1199,2148.2344224983703,0,
normal_0.16,158,Car,FINISHED,53,211,4544.506813769095,0,
normal_0.15,174,Car,FINISHED,52,226,4541.464619364078,0,
normal_0.14,191,Car,FINISHED,47,238,4547.015444801429,0,
normal_1.440,99,Car,NOT_SYNCHRONIZED,1100,1199,2398.5439722979054,0,
normal_0.13,176,Car,FINISHED,45,221,4554.238350278184,0,
normal_0.12,195,Car,FINISHED,40,235,4539.0230797135455,0,
normal_2.238,178,Car,FINISHED,595,773,4553.963869140505,0,
normal_0.11,163,Car,FINISHED,38,201,4546.623986504861,0,
normal_2.237,178,Car,FINISHED,593,771,4544.225608854104,0,
normal_2.479,1,Car,NOT_SYNCHRONIZED,1198,1199,30.932387518562237,0,
normal_0.10,201,Car,FINISHED,34,235,4546.563816139648,0,
normal_2.236,179,Car,FINISHED,590,769,4537.310312429806,0,
normal_2.478,4,Car,NOT_SYNCHRONIZED,1195,1199,123.70688317751274,0,
normal_2.235,180,Car,FINISHED,588,768,4561.463636147626,0,
normal_2.477,6,Car,NOT_SYNCHRONIZED,1193,1199,183.85287395041306,0,
normal_2.239,177,Car,FINISHED,598,775,4548.090354572187,0,
normal_2.274,180,Car,FINISHED,685,865,4548.4560626954435,0,
normal_2.273,179,Car,FINISHED,684,863,4545.98819853564,0,
normal_2.272,180,Car,FINISHED,680,860,4567.748872321331,0,
normal_2.271,180,Car,FINISHED,678,858,4558.021703817729,0,
normal_2.278,182,Car,FINISHED,695,877,4547.885774547298,0,
normal_2.277,182,Car,FINISHED,693,875,4540.809240275359,0,
normal_2.276,179,Car,FINISHED,690,869,4565.5725721343,0,
normal_2.275,179,Car,FINISHED,688,867,4556.196124006947,0,
normal_1.229,195,Car,FINISHED,573,768,4555.3690869812835,0,
normal_1.226,194,Car,FINISHED,565,759,4561.278800369987,0,
normal_2.270,181,Car,FINISHED,675,856,4564.725134382464,0,
normal_1.468,29,Car,NOT_SYNCHRONIZED,1170,1199,785.1271264172432,0,
normal_1.225,194,Car,FINISHED,563,757,4558.31062709871,0,
normal_1.467,31,Car,NOT_SYNCHRONIZED,1168,1199,795.9777445237569,0,
normal_1.228,196,Car,FINISHED,570,766,4552.950955439524,0,
