vehicleId, time, type, last state, creationStep, lastStep, traveledDistance, emergencyBrakes
normal_0.203,91,Car,IN_DISTANCE,508,599,2583.0626130629716,0,
normal_0.202,94,Car,IN_DISTANCE,505,599,2624.130293475406,0,
normal_0.201,95,Car,OUT_OF_DISTANCE,504,599,2826.9067048319034,0,
normal_0.200,99,Car,IN_DISTANCE,500,599,2950.391521916681,1,
normal_0.214,64,Car,UNDER_DISTANCE,535,599,1868.738288582797,0,
normal_0.213,65,Car,IN_DISTANCE,534,599,1799.321783836095,0,
normal_0.212,69,Car,OUT_OF_DISTANCE,530,599,2070.8371003343827,0,
normal_0.211,16,Car,COLLIDED,528,544,456.1356806078937,0,
normal_0.210,74,Car,OUT_OF_DISTANCE,525,599,2285.6018373735797,0,
normal_1.237,4,Car,IN_DISTANCE,595,599,117.9672111113345,0,
normal_1.236,9,Car,OUT_OF_DISTANCE,590,599,293.2370065446362,0,
normal_1.239,0,Car,UNDER_DISTANCE,599,599,0.0,0,
normal_1.238,1,Car,OUT_OF_DISTANCE,598,599,30.819508150421054,0,
normal_0.209,75,Car,OUT_OF_DISTANCE,524,599,2176.5010696254576,0,
normal_0.208,79,Car,IN_DISTANCE,520,599,2237.580458117448,0,
normal_0.207,81,Car,OUT_OF_DISTANCE,518,599,2471.5227683294543,0,
normal_0.206,84,Car,OUT_OF_DISTANCE,515,599,2510.882973297874,0,
normal_0.205,85,Car,IN_DISTANCE,514,599,2436.946313569624,0,
normal_0.204,89,Car,OUT_OF_DISTANCE,510,599,2730.1729526045315,0,
normal_0.225,35,Car,IN_DISTANCE,564,599,974.1822309373398,0,
normal_0.224,39,Car,OUT_OF_DISTANCE,560,599,1190.028501530992,0,
normal_0.223,41,Car,IN_DISTANCE,558,599,1133.7735807915203,0,
normal_0.222,44,Car,IN_DISTANCE,555,599,1215.0411762002652,0,
normal_0.221,45,Car,OUT_OF_DISTANCE,554,599,1291.4026287856548,0,
normal_0.220,48,Car,OUT_OF_DISTANCE,551,599,1496.2772646111505,0,
normal_0.219,49,Car,IN_DISTANCE,550,599,1457.8650338671405,0,
normal_0.218,52,Car,OUT_OF_DISTANCE,547,599,1432.7889398735351,0,
normal_0.217,54,Car,OUT_OF_DISTANCE,545,599,1496.9403022093013,0,
normal_0.216,58,Car,IN_DISTANCE,541,599,1635.9241646569317,0,
normal_0.215,60,Car,IN_DISTANCE,539,599,1751.7127638839306,0,
normal_0.236,9,Car,IN_DISTANCE,590,599,252.2912689589439,0,
normal_0.235,10,Car,IN_DISTANCE,589,599,287.04996529233017,0,
normal_0.234,13,Car,UNDER_DISTANCE,586,599,392.859582548669,0,
normal_0.233,15,Car,UNDER_DISTANCE,584,599,424.12677734350865,0,
normal_0.232,19,Car,UNDER_DISTANCE,580,599,560.8744733584564,0,
normal_0.231,21,Car,OUT_OF_DISTANCE,578,599,627.2122572171164,0,
normal_0.230,24,Car,IN_DISTANCE,575,599,707.0665912275776,0,
normal_0.229,26,Car,OUT_OF_DISTANCE,573,599,788.1950401499786,0,
normal_0.228,29,Car,OUT_OF_DISTANCE,570,599,864.7089255240031,0,
normal_0.227,30,Car,IN_DISTANCE,569,599,861.4075429064401,0,
normal_0.226,34,Car,IN_DISTANCE,565,599,1016.5046546944984,0,
normal_1.208,77,Car,IN_DISTANCE,522,599,2200.11844295844,0,
normal_1.207,79,Car,IN_DISTANCE,520,599,2397.2211729890064,0,
normal_1.209,76,Car,IN_DISTANCE,523,599,2162.64815850454,1,
normal_1.204,89,Car,IN_DISTANCE,510,599,2646.702057156605,0,
normal_1.203,90,Car,UNDER_DISTANCE,509,599,2776.276937067327,0,
normal_1.206,84,Car,UNDER_DISTANCE,515,599,2593.680706150146,0,
normal_1.205,86,Car,OUT_OF_DISTANCE,513,599,2619.350513033164,0,
normal_1.211,53,Car,COLLIDED,530,583,1455.675967976343,0,
normal_1.210,74,Car,IN_DISTANCE,525,599,2274.895538324254,0,
normal_1.213,65,Car,IN_DISTANCE,534,599,1914.3165762540448,0,
normal_1.212,67,Car,IN_DISTANCE,532,599,2027.028964331363,0,
normal_1.200,97,Car,UNDER_DISTANCE,502,599,3026.600376812239,1,
normal_0.19,156,Car,FINISHED,51,207,4556.63246433981,0,
normal_0.18,132,Car,FINISHED,47,179,4561.779008562488,0,
normal_1.202,94,Car,OUT_OF_DISTANCE,505,599,2878.2224217773523,0,
normal_0.17,129,Car,FINISHED,46,175,4547.986983572688,0,
normal_1.201,96,Car,UNDER_DISTANCE,503,599,2916.1727843219355,2,
normal_0.16,129,Car,FINISHED,43,172,4549.172259711707,1,
normal_0.15,127,Car,FINISHED,42,169,4549.42402122868,0,
normal_0.14,128,Car,FINISHED,39,167,4547.442490945042,0,
normal_0.13,151,Car,FINISHED,37,188,4548.370317885641,0,
normal_0.12,125,Car,FINISHED,34,159,4565.365004389563,0,
normal_2.238,3,Car,OUT_OF_DISTANCE,596,599,89.12377879357553,0,
normal_0.11,131,Car,FINISHED,32,163,4550.13150170624,0,
normal_2.237,6,Car,OUT_OF_DISTANCE,593,599,202.28247644174752,0,
normal_0.10,126,Car,FINISHED,28,154,4539.0102545158725,0,
normal_2.236,9,Car,OUT_OF_DISTANCE,590,599,300.6612948392027,0,
normal_2.235,11,Car,UNDER_DISTANCE,588,599,359.67042300501794,0,
normal_2.239,1,Car,OUT_OF_DISTANCE,598,599,31.017882441361593,0,
normal_1.229,24,Car,OUT_OF_DISTANCE,575,599,743.2737802148341,0,
normal_1.226,34,Car,OUT_OF_DISTANCE,565,599,1021.6153064120897,0,
normal_1.225,36,Car,NO_LEADER,563,599,1081.6247948141956,0,
normal_1.228,29,Car,UNDER_DISTANCE,570,599,911.4769334120058,0,
normal_1.227,31,Car,IN_DISTANCE,568,599,938.5543385895891,0,
normal_1.233,15,Car,IN_DISTANCE,584,599,452.2342897814029,0,
normal_1.232,16,Car,OUT_OF_DISTANCE,583,599,523.5758379460956,0,
normal_1.235,11,Car,UNDER_DISTANCE,588,599,348.0195597964065,0,
normal_1.234,14,Car,OUT_OF_DISTANCE,585,599,438.8876658473707,0,
normal_1.231,18,Car,OUT_OF_DISTANCE,581,599,539.0809844333388,0,
normal_1.230,20,Car,IN_DISTANCE,579,599,591.6375578227073,0,
normal_1.219,51,Car,IN_DISTANCE,548,599,1596.543716284556,0,
normal_1.218,54,Car,OUT_OF_DISTANCE,545,599,1636.3466022846937,1,
normal_1.215,61,Car,IN_DISTANCE,538,599,1835.5934172515604,1,
normal_1.214,64,Car,UNDER_DISTANCE,535,599,1887.1846716146622,1,
normal_1.217,56,Car,OUT_OF_DISTANCE,543,599,1713.149102682713,0,
normal_1.216,59,Car,IN_DISTANCE,540,599,1713.2464779350867,0,
normal_1.222,44,Car,OUT_OF_DISTANCE,555,599,1372.0865426039038,0,
normal_1.221,46,Car,IN_DISTANCE,553,599,1392.8405183272225,0,
normal_1.224,39,Car,IN_DISTANCE,560,599,1098.899668219567,0,
normal_1.223,40,Car,IN_DISTANCE,559,599,1182.9046751133815,0,
normal_1.220,49,Car,UNDER_DISTANCE,550,599,1508.3311313522508,0,
normal_2.212,69,Car,IN_DISTANCE,530,599,2126.143243292859,0,
normal_2.211,16,Car,COLLIDED,528,544,465.2238682843947,0,
normal_2.210,74,Car,OUT_OF_DISTANCE,525,599,2231.463725230317,0,
normal_0.49,60,Car,COLLIDED,124,184,1865.0515997597754,0,
normal_0.48,149,Car,FINISHED,120,269,4539.359570558978,0,
normal_0.47,65,Car,COLLIDED,119,184,1874.689232714784,1,
normal_0.46,148,Car,FINISHED,115,263,4550.922862780302,0,
normal_0.45,152,Car,FINISHED,114,266,4565.004441298343,0,
normal_2.205,86,Car,IN_DISTANCE,513,599,2713.865805382754,0,
normal_0.44,84,Car,COLLIDED,110,194,2498.900880535877,1,
normal_2.204,89,Car,IN_DISTANCE,510,599,2792.9599774039198,0,
normal_0.43,153,Car,FINISHED,108,261,4536.604001296418,0,
normal_2.203,91,Car,UNDER_DISTANCE,508,599,2747.3899311184755,1,
normal_0.42,154,Car,FINISHED,106,260,4537.247833938132,1,
normal_2.202,94,Car,UNDER_DISTANCE,505,599,2862.553454827672,1,
normal_0.41,162,Car,FINISHED,104,266,4563.059999154058,0,
normal_2.209,76,Car,OUT_OF_DISTANCE,523,599,2317.2434857235357,0,
