vehicleId, time, type, last state, creationStep, lastStep, traveledDistance, emergencyBrakes
normal_0.203,187,Car,FINISHED,629,816,4566.409877339013,0,
normal_2.296,171,Car,FINISHED,741,912,4546.390436385917,0,
normal_0.202,166,Car,FINISHED,625,791,4553.0719080822255,1,
normal_2.295,175,Car,FINISHED,739,914,4543.861587757312,1,
normal_0.201,165,Car,FINISHED,623,788,4550.424109712923,0,
normal_2.294,173,Car,FINISHED,735,908,4540.239382997314,1,
normal_0.200,167,Car,FINISHED,618,785,4562.0345419569685,0,
normal_2.293,171,Car,FINISHED,733,904,4548.9405322605835,0,
normal_2.299,171,Car,FINISHED,748,919,4547.897974737387,0,
normal_2.298,41,Car,COLLIDED,745,786,1135.2011058130386,0,
normal_2.297,176,Car,FINISHED,743,919,4542.156040607561,0,
normal_2.292,173,Car,FINISHED,730,903,4563.262782153015,0,
normal_2.291,188,Car,FINISHED,728,916,4566.960046365173,0,
normal_2.290,179,Car,FINISHED,725,904,4544.259935224879,1,
normal_0.214,153,Car,FINISHED,658,811,4536.2037860545,0,
normal_2.285,170,Car,FINISHED,714,884,4545.70571391513,0,
normal_0.213,151,Car,FINISHED,656,807,4533.151274106837,0,
normal_2.284,164,Car,FINISHED,710,874,4542.587977331507,0,
normal_0.212,152,Car,FINISHED,654,806,4553.296135064623,0,
normal_2.283,156,Car,FINISHED,708,864,4538.595824928457,0,
normal_0.211,188,Car,FINISHED,652,840,4542.188316545299,0,
normal_2.282,158,Car,FINISHED,705,863,4560.674618063668,0,
normal_0.210,158,Car,FINISHED,647,805,4544.405827888212,1,
normal_2.289,177,Car,FINISHED,723,900,4563.402342773327,0,
normal_2.288,166,Car,FINISHED,720,886,4557.156186506999,0,
normal_2.287,180,Car,FINISHED,718,898,4550.853116957065,0,
normal_2.286,155,Car,FINISHED,716,871,4566.827037975521,0,
normal_2.281,170,Car,FINISHED,703,873,4559.353593153868,0,
normal_1.479,1,Car,OUT_OF_DISTANCE,1198,1199,29.001339970557584,0,
normal_2.280,166,Car,FINISHED,700,866,4557.9172010356015,0,
normal_1.478,4,Car,OUT_OF_DISTANCE,1195,1199,104.22014901379964,0,
normal_0.209,163,Car,FINISHED,645,808,4539.440508653805,0,
normal_0.208,158,Car,FINISHED,642,800,4555.022318947434,0,
normal_2.279,154,Car,FINISHED,698,852,4554.744187801864,0,
normal_0.207,179,Car,FINISHED,640,819,4557.926599638437,0,
normal_0.206,166,Car,FINISHED,637,803,4560.104773162417,0,
normal_0.205,159,Car,FINISHED,635,794,4565.6379133515575,0,
normal_0.204,164,Car,FINISHED,630,794,4559.5561957291075,0,
normal_0.225,159,Car,FINISHED,692,851,4564.627664929104,0,
normal_0.224,189,Car,FINISHED,687,876,4553.227535254009,0,
normal_0.223,189,Car,FINISHED,685,874,4541.08323579983,0,
normal_0.222,153,Car,FINISHED,680,833,4547.399508658799,0,
