vehicleId, time, type, last state, creationStep, lastStep, traveledDistance, emergencyBrakes
normal_0.203,152,Car,FINISHED,746,898,2351.0122973845014,0,
normal_2.296,319,Car,FINISHED,768,1087,2363.8421144033055,0,
normal_0.202,153,Car,FINISHED,740,893,2355.2778944585734,0,
normal_2.295,322,Car,FINISHED,763,1085,2357.11808942364,0,
normal_0.201,142,Car,FINISHED,738,880,2348.129867156673,0,
normal_2.294,324,Car,FINISHED,759,1083,2351.1904119669525,0,
normal_0.200,156,Car,FINISHED,732,888,2367.521649084489,0,
normal_2.293,320,Car,FINISHED,756,1076,2345.3959576813404,0,
normal_2.299,315,Car,FINISHED,785,1100,2364.5010103661116,0,
normal_2.298,318,Car,FINISHED,780,1098,2356.4352643404504,0,
normal_2.297,318,Car,FINISHED,774,1092,2364.835338739694,0,
normal_1.248,484,Car,NOT_SYNCHRONIZED,715,1199,1040.2406366899588,0,
normal_2.292,323,Car,FINISHED,752,1075,2367.3686621309566,0,
normal_1.247,487,Car,NOT_SYNCHRONIZED,712,1199,1049.3993226756318,0,
normal_2.291,320,Car,FINISHED,749,1069,2343.8542323808574,0,
normal_2.290,318,Car,FINISHED,746,1064,2357.571808667834,0,
normal_1.249,481,Car,NOT_SYNCHRONIZED,718,1199,1030.6970311765479,0,
normal_1.255,173,Car,FINISHED,737,910,2364.4746305991007,0,
normal_1.254,465,Car,NOT_SYNCHRONIZED,734,1199,975.0770242442153,0,
normal_1.257,167,Car,FINISHED,745,912,2361.680709170045,0,
normal_1.256,458,Car,NOT_SYNCHRONIZED,741,1199,959.1161682887473,0,
normal_1.251,474,Car,NOT_SYNCHRONIZED,725,1199,1011.9168095694597,0,
normal_1.250,478,Car,NOT_SYNCHRONIZED,721,1199,1021.3536931098298,0,
normal_1.253,468,Car,NOT_SYNCHRONIZED,731,1199,989.6230034783492,0,
normal_1.252,471,Car,NOT_SYNCHRONIZED,728,1199,1001.4951250652373,0,
normal_2.285,315,Car,FINISHED,730,1045,2347.140250971229,0,
normal_0.214,149,Car,FINISHED,797,946,2359.2270202731665,0,
normal_2.284,315,Car,FINISHED,727,1042,2364.4042333109146,0,
normal_0.213,150,Car,FINISHED,794,944,2351.272654202745,0,
normal_2.283,312,Car,FINISHED,724,1036,2364.884649569635,0,
normal_0.212,149,Car,FINISHED,788,937,2352.749769652919,0,
normal_2.282,305,Car,FINISHED,721,1026,2335.7991529416704,0,
normal_0.211,150,Car,FINISHED,785,935,2344.977685576737,0,
normal_2.289,318,Car,FINISHED,743,1061,2352.297802536301,0,
