vehicleId, time, type, last state, creationStep, lastStep, traveledDistance, emergencyBrakes
normal_0.203,141,Car,FINISHED,508,649,2359.826672558625,0,
normal_2.296,184,Car,FINISHED,741,925,2351.5415439946178,0,
normal_0.202,140,Car,FINISHED,505,645,2349.7151074040316,0,
normal_2.295,335,Car,FINISHED,738,1073,2369.175387038695,0,
normal_0.201,275,Car,FINISHED,503,778,2343.7430431349862,0,
normal_2.294,193,Car,FINISHED,735,928,2369.8932624951544,0,
normal_0.200,270,Car,FINISHED,500,770,2342.592225761468,0,
normal_2.293,185,Car,FINISHED,733,918,2352.478361754439,0,
normal_2.299,190,Car,FINISHED,750,940,2343.6342561133015,0,
normal_2.298,183,Car,FINISHED,747,930,2369.3541423489714,1,
normal_2.297,183,Car,FINISHED,744,927,2370.6016416400707,0,
normal_1.248,164,Car,FINISHED,620,784,2355.9757609931785,0,
normal_2.292,190,Car,FINISHED,730,920,2355.850195221174,0,
normal_1.247,341,Car,FINISHED,618,959,2348.2189459862884,0,
normal_2.291,186,Car,FINISHED,728,914,2341.0750624967695,0,
normal_2.290,184,Car,FINISHED,725,909,2360.7605703081363,0,
normal_1.249,237,Car,FINISHED,623,860,2357.11901844049,0,
normal_1.255,185,Car,FINISHED,638,823,2356.7982960363515,0,
normal_1.254,186,Car,FINISHED,635,821,2337.6514820306397,0,
normal_1.257,262,Car,FINISHED,643,905,2345.0936197560673,0,
normal_1.256,186,Car,FINISHED,640,826,2350.4329506651825,0,
normal_1.251,186,Car,FINISHED,628,814,2361.2763133330745,0,
normal_1.250,184,Car,FINISHED,625,809,2360.3985920003365,0,
normal_1.253,191,Car,FINISHED,633,824,2341.6816687686287,0,
normal_1.252,178,Car,FINISHED,630,808,2343.6997489852142,0,
normal_0.214,168,Car,FINISHED,537,705,2349.2767415193343,0,
normal_2.285,185,Car,FINISHED,713,898,2351.0302141969914,0,
normal_0.213,172,Car,FINISHED,535,707,2339.56598420661,0,
