vehicleId, time, type, last state, creationStep, lastStep, traveledDistance, emergencyBrakes
normal_0.203,104,Car,FINISHED,585,689,2361.543198368131,0,
normal_2.296,118,Car,FINISHED,740,858,2342.049757494702,0,
normal_0.202,100,Car,FINISHED,580,680,2348.1257395748908,2,
normal_2.295,118,Car,FINISHED,738,856,2357.7803518900105,0,
normal_0.201,104,Car,FINISHED,578,682,2359.3933155705795,1,
normal_2.294,122,Car,FINISHED,735,857,2337.7603446128933,0,
normal_0.200,67,Car,COLLIDED,574,641,1542.5343994643,0,
normal_2.293,118,Car,FINISHED,733,851,2347.2065230406074,0,
normal_2.299,121,Car,FINISHED,748,869,2369.1660220237372,2,
normal_2.298,118,Car,FINISHED,745,863,2343.400307941806,1,
normal_2.297,112,Car,FINISHED,743,855,2352.8342066623695,0,
normal_2.292,119,Car,FINISHED,730,849,2355.359074721262,0,
normal_2.291,112,Car,COLLIDED,728,840,1758.221011871312,2,
normal_2.290,121,Car,FINISHED,727,848,2344.171782303444,0,
normal_0.214,102,Car,FINISHED,616,718,2355.867402723485,0,
normal_2.285,110,Car,FINISHED,713,823,2369.462772731925,0,
normal_0.213,108,Car,FINISHED,615,723,2350.9474900604564,1,
normal_2.284,111,Car,FINISHED,710,821,2358.3609380727003,0,
normal_0.212,97,Car,FINISHED,612,709,2339.528965185505,0,
normal_2.283,111,Car,FINISHED,708,819,2346.5246544973857,0,
normal_0.211,107,Car,FINISHED,610,717,2367.6083498862745,1,
normal_2.282,109,Car,FINISHED,705,814,2353.3448651927747,0,
normal_0.210,105,Car,FINISHED,606,711,2360.5974409693567,0,
normal_2.289,127,Car,FINISHED,723,850,2358.7318348062013,0,
normal_2.288,114,Car,FINISHED,720,834,2354.5116272002606,0,
normal_2.287,110,Car,FINISHED,718,828,2346.7462925363693,0,
normal_2.286,111,Car,FINISHED,715,826,2342.0876915574913,1,
normal_2.281,114,Car,FINISHED,703,817,2343.256188547494,0,
normal_2.280,111,Car,FINISHED,700,811,2338.689518098361,0,
normal_0.209,99,Car,FINISHED,604,703,2353.5808481609665,0,
normal_0.208,100,Car,FINISHED,600,700,2344.1047540720556,0,
normal_2.279,109,Car,FINISHED,698,807,2353.7249066068684,0,
normal_0.207,101,Car,FINISHED,598,699,2351.223568339814,0,
normal_0.206,106,Car,FINISHED,593,699,2358.59078790767,0,
normal_0.205,97,Car,FINISHED,591,688,2346.6333719352074,0,
normal_0.204,107,Car,FINISHED,587,694,2361.6163513362567,1,
normal_0.225,111,Car,FINISHED,651,762,2343.1168163762177,1,
normal_0.224,108,Car,FINISHED,647,755,2361.973278675346,0,
normal_0.223,102,Car,FINISHED,646,748,2356.633272630272,0,
normal_0.222,106,Car,FINISHED,642,748,2355.8960134958174,0,
normal_0.221,103,Car,FINISHED,641,744,2366.2370852140234,0,
normal_0.220,108,Car,FINISHED,637,745,2358.7659344634635,0,
normal_0.219,57,Car,COLLIDED,635,692,1436.6236989570161,0,
normal_0.218,100,Car,FINISHED,630,730,2337.266217523312,0,
normal_0.217,109,Car,FINISHED,628,737,2349.7497389502955,0,
normal_0.216,101,Car,FINISHED,624,725,2356.5297496021126,2,
normal_0.215,108,Car,FINISHED,622,730,2355.3022165979146,0,
normal_0.236,116,Car,FINISHED,674,790,2342.466398453733,1,
normal_0.235,115,Car,FINISHED,673,788,2356.2154379661374,0,
normal_0.234,108,Car,FINISHED,670,778,2369.882767568042,0,
normal_0.233,130,Car,FINISHED,669,799,2344.781608709201,1,
normal_0.232,108,Car,FINISHED,666,774,2352.705468972804,2,
normal_0.231,109,Car,FINISHED,664,773,2365.1763358742255,1,
normal_0.230,104,Car,FINISHED,661,765,2344.220454902987,0,
normal_0.229,118,Car,FINISHED,659,777,2339.656953022666,0,
normal_0.228,115,Car,FINISHED,657,772,2337.8998941811633,0,
normal_0.227,121,Car,FINISHED,655,776,2349.7625702411883,0,
normal_0.226,106,Car,FINISHED,652,758,2349.76788694497,0,
normal_2.252,94,Car,FINISHED,630,724,2360.351044797372,1,
normal_2.251,95,Car,FINISHED,628,723,2353.458001198527,1,
normal_2.250,97,Car,FINISHED,625,722,2346.902592460097,1,
normal_2.256,100,Car,FINISHED,640,740,2341.6207861526937,0,
normal_2.255,92,Car,FINISHED,638,730,2366.952181174872,0,
normal_2.254,100,Car,FINISHED,635,735,2363.5579458746547,0,
normal_2.253,95,Car,FINISHED,633,728,2353.798740145533,0,
normal_1.449,76,Car,OUT_OF_DISTANCE,1123,1199,585.7977452610164,0,
normal_1.446,84,Car,UNDER_DISTANCE,1115,1199,269.63819927025844,0,
normal_1.445,86,Car,OUT_OF_DISTANCE,1113,1199,566.2640026714915,0,
normal_1.448,79,Car,OUT_OF_DISTANCE,1120,1199,584.272125517069,0,
normal_1.447,80,Car,OUT_OF_DISTANCE,1119,1199,627.5938093344007,0,
normal_1.453,63,Car,UNDER_DISTANCE,1136,1199,247.36962126753474,0,
normal_1.452,65,Car,OUT_OF_DISTANCE,1134,1199,474.5735232852027,0,
normal_1.455,57,Car,UNDER_DISTANCE,1142,1199,225.0524616225021,0,
normal_1.454,60,Car,IN_DISTANCE,1139,1199,234.0227155657228,0,
normal_1.451,69,Car,IN_DISTANCE,1130,1199,257.1035267456065,0,
normal_1.450,73,Car,OUT_OF_DISTANCE,1126,1199,547.4735402101903,0,
normal_2.249,93,Car,FINISHED,623,716,2349.9975042764736,0,
normal_2.248,93,Car,FINISHED,621,714,2337.7106501792746,1,
normal_2.247,102,Car,FINISHED,618,720,2342.367568955469,0,
normal_2.246,92,Car,FINISHED,615,707,2365.0901971558055,0,
normal_2.241,93,Car,FINISHED,603,696,2367.1315253282373,0,
normal_2.240,86,Car,FINISHED,600,686,2341.5445773219762,0,
normal_2.245,92,Car,FINISHED,613,705,2364.1863176561537,0,
normal_2.244,95,Car,FINISHED,610,705,2358.409437300546,0,
normal_2.243,92,Car,FINISHED,608,700,2348.6505021404805,0,
normal_2.242,93,Car,FINISHED,605,698,2370.313914602984,0,
normal_1.439,101,Car,UNDER_DISTANCE,1098,1199,336.69641260219106,0,
normal_1.438,104,Car,IN_DISTANCE,1095,1199,785.8161626568705,0,
normal_1.435,111,Car,UNDER_DISTANCE,1088,1199,381.1790855529726,0,
normal_1.434,114,Car,UNDER_DISTANCE,1085,1199,390.46559555723604,0,
normal_1.437,106,Car,UNDER_DISTANCE,1093,1199,358.8052592371819,0,
normal_1.436,109,Car,IN_DISTANCE,1090,1199,367.77190599673503,0,
normal_1.442,94,Car,UNDER_DISTANCE,1105,1199,303.39812783610046,0,
normal_1.441,96,Car,UNDER_DISTANCE,1103,1199,313.95443172824986,0,
normal_1.444,89,Car,UNDER_DISTANCE,1110,1199,280.10920907809725,0,
normal_1.443,91,Car,IN_DISTANCE,1108,1199,290.275925011859,0,
normal_1.440,99,Car,IN_DISTANCE,1100,1199,323.3721157258099,0,
normal_2.238,89,Car,FINISHED,595,684,2345.7799075693815,0,
normal_2.237,86,Car,FINISHED,593,679,2367.604071444363,0,
normal_2.236,83,Car,FINISHED,590,673,2355.4016992940806,0,
normal_2.235,95,Car,FINISHED,588,683,2336.912111536219,0,
normal_2.239,92,Car,FINISHED,598,690,2349.6535911542755,0,
normal_2.274,58,Car,COLLIDED,685,743,1147.9942031240655,1,
normal_2.273,109,Car,FINISHED,683,792,2366.483205986329,0,
normal_2.272,107,Car,FINISHED,680,787,2360.2512259222317,0,
normal_2.271,111,Car,FINISHED,678,789,2344.2403866360773,0,
normal_2.278,29,Car,COLLIDED,695,724,788.4998570098285,0,
normal_2.277,111,Car,FINISHED,693,804,2354.75074134813,0,
normal_2.276,114,Car,FINISHED,690,804,2358.3399423297533,0,
normal_2.275,115,Car,FINISHED,688,803,2369.945408591846,0,
normal_2.270,101,Car,FINISHED,675,776,2360.6432455916106,0,
normal_1.468,19,Car,OUT_OF_DISTANCE,1180,1199,128.7414600385948,0,
normal_1.467,28,Car,IN_DISTANCE,1171,1199,161.84451946862535,0,
normal_1.469,17,Car,OUT_OF_DISTANCE,1182,1199,143.1105979144061,0,
normal_1.475,6,Car,OUT_OF_DISTANCE,1193,1199,33.06078817729212,0,
normal_1.474,8,Car,UNDER_DISTANCE,1191,1199,49.332983461394136,0,
normal_1.477,1,Car,IN_DISTANCE,1198,1199,4.664229964786807,0,
normal_1.476,3,Car,OUT_OF_DISTANCE,1196,1199,17.35903193445885,0,
normal_1.471,14,Car,OUT_OF_DISTANCE,1185,1199,87.57844775290327,0,
normal_1.470,16,Car,UNDER_DISTANCE,1183,1199,103.06905305182751,0,
normal_1.473,10,Car,IN_DISTANCE,1189,1199,59.70741941976462,0,
normal_1.472,12,Car,OUT_OF_DISTANCE,1187,1199,72.04060325119765,0,
normal_2.269,101,Car,FINISHED,673,774,2367.736937978192,1,
normal_2.268,100,Car,FINISHED,670,770,2348.1883343727213,0,
normal_2.263,102,Car,FINISHED,658,760,2366.4096543688443,0,
normal_2.262,101,Car,FINISHED,656,757,2353.2214995258737,0,
normal_2.261,97,Car,FINISHED,653,750,2356.0488622267167,0,
normal_2.260,98,Car,FINISHED,651,749,2350.797918736253,1,
normal_2.267,101,Car,FINISHED,668,769,2352.194187067559,0,
normal_2.266,123,Car,FINISHED,666,789,2350.004767609984,1,
normal_2.265,122,Car,FINISHED,663,785,2366.8827926330687,1,
normal_2.264,111,Car,FINISHED,660,771,2342.4055373784495,1,
normal_1.457,53,Car,UNDER_DISTANCE,1146,1199,201.2047497213905,0,
normal_1.456,55,Car,UNDER_DISTANCE,1144,1199,213.14115773944962,0,
normal_1.459,49,Car,UNDER_DISTANCE,1150,1199,178.36832262111702,0,
normal_1.458,51,Car,IN_DISTANCE,1148,1199,187.63654377126196,0,
normal_1.464,39,Car,UNDER_DISTANCE,1160,1199,145.1342606771227,0,
normal_1.463,41,Car,UNDER_DISTANCE,1158,1199,157.121370538195,0,
normal_1.466,33,Car,OUT_OF_DISTANCE,1166,1199,226.84003860480178,0,
normal_1.465,36,Car,OUT_OF_DISTANCE,1163,1199,179.42925223533157,0,
normal_1.460,46,Car,UNDER_DISTANCE,1153,1199,166.5351665471317,0,
normal_1.462,42,Car,OUT_OF_DISTANCE,1157,1199,322.30225704654697,0,
normal_1.461,44,Car,OUT_OF_DISTANCE,1155,1199,340.9627157371078,0,
normal_2.259,106,Car,FINISHED,649,755,2345.204769003525,0,
normal_2.258,100,Car,FINISHED,647,747,2361.6486498646373,1,
normal_2.257,104,Car,FINISHED,643,747,2370.003410894127,0,
truck_flow.138,127,Truck,FINISHED,777,904,2355.051581490044,0,
truck_flow.139,125,Truck,FINISHED,782,907,2339.078074469762,0,
truck_flow.136,168,Truck,FINISHED,768,936,2364.762316322982,1,
truck_flow.137,125,Truck,FINISHED,772,897,2344.2531145035123,0,
normal_2.212,92,Car,FINISHED,530,622,2356.4028918391487,0,
truck_flow.134,121,Truck,FINISHED,759,880,2354.54759896135,0,
normal_2.211,98,Car,FINISHED,529,627,2335.0601190296093,0,
truck_flow.135,121,Truck,FINISHED,763,884,2346.93558752877,0,
normal_1.409,23,Car,COLLIDED,1023,1046,233.85668051797012,0,
normal_2.210,92,Car,FINISHED,526,618,2342.796135818425,1,
truck_flow.132,121,Truck,FINISHED,749,870,2344.729637306634,0,
truck_flow.133,127,Truck,FINISHED,754,881,2359.4677963881977,0,
normal_1.406,184,Car,OUT_OF_DISTANCE,1015,1199,1872.8026602208608,0,
normal_1.405,186,Car,OUT_OF_DISTANCE,1013,1199,693.4627319011086,0,
normal_1.408,179,Car,OUT_OF_DISTANCE,1020,1199,1661.159916667991,0,
normal_1.407,181,Car,OUT_OF_DISTANCE,1018,1199,1578.9697403110142,0,
normal_1.402,193,Car,FINISHED,1005,1198,2367.080461598788,0,
normal_1.401,196,Car,UNDER_DISTANCE,1003,1199,737.5297041658381,0,
normal_1.404,189,Car,OUT_OF_DISTANCE,1010,1199,708.330565673545,0,
normal_1.403,191,Car,UNDER_DISTANCE,1008,1199,725.2870741906652,0,
normal_1.411,171,Car,OUT_OF_DISTANCE,1028,1199,652.4130559445663,0,
normal_1.410,174,Car,UNDER_DISTANCE,1025,1199,669.5425590360754,0,
normal_2.205,101,Car,FINISHED,513,614,2356.267029858201,0,
truck_flow.130,121,Truck,FINISHED,738,859,2349.7897121800647,0,
normal_2.204,95,Car,FINISHED,510,605,2358.3249884475968,1,
truck_flow.131,122,Truck,FINISHED,743,865,2349.7259641305877,0,
normal_2.203,91,Car,FINISHED,508,599,2366.7954149022967,0,
normal_2.202,91,Car,FINISHED,505,596,2368.62907802059,0,
normal_2.209,92,Car,FINISHED,524,616,2363.601606612977,1,
normal_2.208,91,Car,FINISHED,522,613,2367.914393143169,0,
normal_2.207,91,Car,FINISHED,520,611,2354.5733556486284,0,
normal_2.206,92,Car,FINISHED,518,610,2369.2268868192523,0,
truck_flow.127,122,Truck,FINISHED,723,845,2358.507420429645,0,
truck_flow.128,123,Truck,FINISHED,727,850,2348.281051236117,0,
truck_flow.125,117,Truck,FINISHED,712,829,2344.8228458916933,0,
truck_flow.126,125,Truck,FINISHED,718,843,2364.6787240741946,0,
normal_2.201,89,Car,FINISHED,503,592,2344.953700912457,0,
truck_flow.123,111,Truck,FINISHED,701,812,2359.194374647401,0,
normal_2.200,89,Car,FINISHED,500,589,2341.732517518394,0,
truck_flow.124,124,Truck,FINISHED,706,830,2349.7652307411904,0,
truck_flow.121,111,Truck,FINISHED,690,801,2344.752259953366,0,
truck_flow.122,143,Truck,FINISHED,697,840,2358.5493851556594,3,
truck_flow.129,125,Truck,FINISHED,732,857,2344.752517949147,1,
normal_1.400,199,Car,OUT_OF_DISTANCE,1000,1199,1764.4804157549554,1,
truck_flow.120,109,Truck,FINISHED,685,794,2358.797155719185,1,
normal_2.230,96,Car,FINISHED,575,671,2357.049648533238,0,
truck_flow.116,115,Truck,FINISHED,668,783,2360.767024125917,2,
truck_flow.117,115,Truck,FINISHED,671,786,2349.1924144384416,1,
truck_flow.114,110,Truck,FINISHED,658,768,2356.884438574417,0,
truck_flow.115,104,Truck,FINISHED,663,767,2339.184454803122,3,
normal_2.234,97,Car,FINISHED,585,682,2354.4193526452764,0,
truck_flow.112,108,Truck,FINISHED,649,757,2365.266560152726,0,
normal_2.233,94,Car,FINISHED,583,677,2351.2378488556938,0,
truck_flow.113,113,Truck,FINISHED,654,767,2347.466379764223,1,
normal_2.232,94,Car,FINISHED,580,674,2341.1164770306773,0,
truck_flow.110,113,Truck,FINISHED,639,752,2349.8661595696353,0,
normal_2.231,94,Car,FINISHED,578,672,2359.544986495625,0,
truck_flow.111,109,Truck,FINISHED,644,753,2346.887831021614,0,
normal_1.428,129,Car,OUT_OF_DISTANCE,1070,1199,984.7993128178543,0,
normal_1.427,131,Car,UNDER_DISTANCE,1068,1199,478.4920628446006,0,
normal_1.429,126,Car,IN_DISTANCE,1073,1199,447.96348984660267,0,
normal_1.424,139,Car,OUT_OF_DISTANCE,1060,1199,1124.5706073417534,1,
normal_1.423,141,Car,IN_DISTANCE,1058,1199,511.7257809619334,0,
truck_flow.118,111,Truck,FINISHED,676,787,2340.74497630481,0,
normal_1.426,134,Car,OUT_OF_DISTANCE,1065,1199,1067.1926514498455,0,
truck_flow.119,112,Truck,FINISHED,680,792,2349.8190171073647,1,
normal_1.425,136,Car,IN_DISTANCE,1063,1199,499.6738720836792,0,
normal_1.431,121,Car,OUT_OF_DISTANCE,1078,1199,924.1366453139543,0,
normal_1.430,124,Car,IN_DISTANCE,1075,1199,434.95378441312425,0,
normal_1.433,116,Car,UNDER_DISTANCE,1083,1199,400.6798224601228,0,
normal_1.432,119,Car,IN_DISTANCE,1080,1199,422.2216054777324,0,
normal_2.227,93,Car,FINISHED,568,661,2330.6973896152426,0,
normal_2.226,101,Car,FINISHED,565,666,2359.123620960273,0,
normal_2.225,101,Car,FINISHED,563,664,2369.608947665998,0,
normal_2.224,102,Car,FINISHED,561,663,2353.194861647476,0,
normal_2.229,96,Car,FINISHED,573,669,2370.6028430457595,0,
normal_2.228,40,Car,COLLIDED,570,610,1083.534695148133,0,
truck_flow.105,105,Truck,FINISHED,608,713,2348.121122358373,0,
truck_flow.106,106,Truck,FINISHED,613,719,2352.262960837085,0,
truck_flow.103,101,Truck,FINISHED,595,696,2361.656757561468,0,
truck_flow.104,105,Truck,FINISHED,602,707,2342.368267896536,0,
normal_2.223,102,Car,FINISHED,558,660,2347.9899268159365,0,
truck_flow.101,105,Truck,FINISHED,582,687,2348.439038798406,0,
normal_2.222,101,Car,FINISHED,555,656,2339.3773645934366,0,
truck_flow.102,103,Truck,FINISHED,589,692,2348.1861677114202,0,
normal_2.221,99,Car,FINISHED,553,652,2348.175094652907,0,
normal_2.220,104,Car,FINISHED,550,654,2361.6849699028644,0,
