vehicleId, time, type, last state, creationStep, lastStep, traveledDistance, emergencyBrakes
normal_2.296,137,Car,NOT_SYNCHRONIZED,1062,1199,596.8381949377927,0,
normal_2.295,139,Car,NOT_SYNCHRONIZED,1060,1199,835.5314639797995,0,
normal_2.294,141,Car,NOT_SYNCHRONIZED,1058,1199,923.2600165612936,0,
normal_2.293,143,Car,NOT_SYNCHRONIZED,1056,1199,968.4334137052414,0,
normal_2.299,131,Car,NOT_SYNCHRONIZED,1068,1199,512.4052913066596,0,
normal_2.298,133,Car,NOT_SYNCHRONIZED,1066,1199,553.5505322800749,0,
normal_2.297,135,Car,NOT_SYNCHRONIZED,1064,1199,390.24844947436355,0,
normal_1.248,162,Car,NOT_SYNCHRONIZED,1037,1199,217.03832839694442,0,
normal_2.292,145,Car,NOT_SYNCHRONIZED,1054,1199,1014.7555234021582,0,
normal_1.247,165,Car,NOT_SYNCHRONIZED,1034,1199,226.27854257231223,0,
normal_2.291,147,Car,NOT_SYNCHRONIZED,1052,1199,1059.2967873664732,0,
normal_2.290,149,Car,NOT_SYNCHRONIZED,1050,1199,1104.2325539306496,0,
normal_1.249,158,Car,NOT_SYNCHRONIZED,1041,1199,252.8690902023844,0,
normal_1.255,140,Car,NOT_SYNCHRONIZED,1059,1199,198.47463146598258,0,
normal_1.254,143,Car,NOT_SYNCHRONIZED,1056,1199,171.54946013783487,0,
normal_1.257,133,Car,NOT_SYNCHRONIZED,1066,1199,154.8252250522921,0,
normal_1.256,137,Car,NOT_SYNCHRONIZED,1062,1199,163.11754586139364,0,
normal_1.251,152,Car,NOT_SYNCHRONIZED,1047,1199,270.4882456673803,0,
normal_1.250,155,Car,NOT_SYNCHRONIZED,1044,1199,207.97654928905038,0,
normal_1.253,146,Car,NOT_SYNCHRONIZED,1053,1199,180.1803770469022,0,
normal_1.252,149,Car,NOT_SYNCHRONIZED,1050,1199,272.29493272798,0,
normal_2.285,159,Car,NOT_SYNCHRONIZED,1040,1199,1312.9005146221716,0,
normal_2.284,161,Car,NOT_SYNCHRONIZED,1038,1199,1347.0460606486565,0,
normal_2.283,163,Car,NOT_SYNCHRONIZED,1036,1199,1376.7494323722228,0,
normal_2.282,167,Car,NOT_SYNCHRONIZED,1032,1199,1437.7523579840235,0,
normal_2.289,151,Car,NOT_SYNCHRONIZED,1048,1199,1149.3048382985887,0,
normal_2.288,153,Car,NOT_SYNCHRONIZED,1046,1199,1193.0889578949661,0,
normal_2.287,155,Car,NOT_SYNCHRONIZED,1044,1199,1235.2857929265297,0,
normal_2.286,157,Car,NOT_SYNCHRONIZED,1042,1199,1275.280305449745,0,
normal_1.237,356,Car,NOT_SYNCHRONIZED,843,1199,235.6266653072915,0,
normal_2.281,169,Car,NOT_SYNCHRONIZED,1030,1199,629.9322487117993,0,
normal_1.236,364,Car,NOT_SYNCHRONIZED,835,1199,261.2070866942031,0,
normal_2.280,177,Car,NOT_SYNCHRONIZED,1022,1199,1458.4794816926646,0,
normal_1.239,197,Car,NOT_SYNCHRONIZED,1002,1199,747.3100598831444,0,
normal_1.238,210,Car,NOT_SYNCHRONIZED,989,1199,705.942138721935,0,
normal_1.244,175,Car,NOT_SYNCHRONIZED,1024,1199,640.5250483939591,0,
