vehicleId, time, type, last state, creationStep, lastStep, traveledDistance, emergencyBrakes
normal_2.296,282,Car,UNDER_DISTANCE,917,1199,1189.0158325049615,1,
normal_0.203,182,Car,OUT_OF_DISTANCE,1017,1199,699.4346621972741,0,
normal_2.295,285,Car,UNDER_DISTANCE,914,1199,1169.6740425574421,0,
normal_0.202,190,Car,OUT_OF_DISTANCE,1009,1199,734.6417349820953,0,
normal_2.294,288,Car,UNDER_DISTANCE,911,1199,1160.5965668785218,0,
normal_0.201,193,Car,UNDER_DISTANCE,1006,1199,750.2215539600363,0,
normal_2.293,291,Car,NO_LEADER,908,1199,1227.0069373875317,0,
normal_0.200,202,Car,OUT_OF_DISTANCE,997,1199,785.2094759146268,0,
normal_2.299,270,Car,OUT_OF_DISTANCE,929,1199,1157.529747385055,0,
normal_2.298,274,Car,OUT_OF_DISTANCE,925,1199,1172.9992786883925,0,
normal_2.297,278,Car,UNDER_DISTANCE,921,1199,249.67413235066246,0,
normal_1.248,346,Car,UNDER_DISTANCE,853,1199,1613.5327818472424,1,
normal_2.292,293,Car,UNDER_DISTANCE,906,1199,1225.7601655796684,0,
normal_1.247,347,Car,UNDER_DISTANCE,852,1199,1179.8611636550563,2,
normal_2.291,295,Car,UNDER_DISTANCE,904,1199,1243.9171174141256,0,
normal_2.290,317,Car,UNDER_DISTANCE,882,1199,1212.044235665526,0,
normal_1.249,344,Car,OUT_OF_DISTANCE,855,1199,1581.3790279984355,0,
normal_1.255,295,Car,UNDER_DISTANCE,904,1199,258.8395272036622,0,
normal_1.254,296,Car,OUT_OF_DISTANCE,903,1199,1309.8987308569137,0,
normal_1.257,288,Car,OUT_OF_DISTANCE,911,1199,1249.3642206967831,0,
normal_1.256,290,Car,OUT_OF_DISTANCE,909,1199,1173.0417608904058,0,
normal_1.251,329,Car,OUT_OF_DISTANCE,870,1199,1439.6217580034247,1,
normal_1.250,340,Car,IN_DISTANCE,859,1199,1358.809326835807,0,
normal_1.253,311,Car,UNDER_DISTANCE,888,1199,269.10031155989435,0,
normal_1.252,316,Car,IN_DISTANCE,883,1199,1413.9984808570664,0,
normal_2.285,349,Car,UNDER_DISTANCE,850,1199,290.83849949566667,0,
normal_0.214,71,Car,OUT_OF_DISTANCE,1128,1199,290.5736772328024,0,
normal_2.284,353,Car,OUT_OF_DISTANCE,846,1199,1202.5805735562662,2,
normal_0.213,74,Car,OUT_OF_DISTANCE,1125,1199,306.57799413309914,0,
normal_2.283,356,Car,OUT_OF_DISTANCE,843,1199,1374.31800919626,1,
normal_0.212,81,Car,OUT_OF_DISTANCE,1118,1199,343.79907499374184,0,
normal_2.282,359,Car,IN_DISTANCE,840,1199,1035.8917030149323,1,
normal_0.211,85,Car,OUT_OF_DISTANCE,1114,1199,358.85076310756125,0,
normal_2.289,326,Car,UNDER_DISTANCE,873,1199,1263.4544330105061,0,
normal_0.210,146,Car,OUT_OF_DISTANCE,1053,1199,524.2385879939004,0,
normal_2.288,331,Car,OUT_OF_DISTANCE,868,1199,1310.7665036446747,0,
normal_2.287,334,Car,UNDER_DISTANCE,865,1199,1192.5197758890454,0,
normal_2.286,342,Car,OUT_OF_DISTANCE,857,1199,1344.3115390324801,0,
normal_1.237,396,Car,FINISHED,791,1187,2556.148181581322,1,
normal_2.281,362,Car,OUT_OF_DISTANCE,837,1199,1279.9886746484237,0,
normal_1.236,392,Car,FINISHED,785,1177,2563.987320130413,0,
normal_2.280,364,Car,OUT_OF_DISTANCE,835,1199,1496.7945238039217,0,
normal_1.239,383,Car,FINISHED,809,1192,2590.123351613696,0,
normal_1.238,393,Car,FINISHED,797,1190,2564.569576465568,0,
normal_1.244,360,Car,OUT_OF_DISTANCE,839,1199,1946.9250753762653,0,
normal_1.243,368,Car,OUT_OF_DISTANCE,831,1199,2134.387833759613,1,
normal_1.246,352,Car,OUT_OF_DISTANCE,847,1199,1834.1306968840822,0,
normal_1.245,355,Car,OUT_OF_DISTANCE,844,1199,1899.2299331482116,0,
normal_1.240,361,Car,COLLIDED,813,1174,1895.3728369910007,1,
normal_1.242,215,Car,COLLIDED,822,1037,177.2892836624732,0,
normal_1.241,374,Car,FINISHED,819,1193,2584.1870189663473,0,
normal_0.209,150,Car,IN_DISTANCE,1049,1199,540.6898545002263,0,
normal_2.279,388,Car,IN_DISTANCE,811,1199,1395.8548943271978,0,
normal_0.208,158,Car,OUT_OF_DISTANCE,1041,1199,577.0521521943883,0,
normal_0.207,161,Car,OUT_OF_DISTANCE,1038,1199,593.0983913759803,0,
normal_0.206,167,Car,IN_DISTANCE,1032,1199,631.4895849553426,0,
normal_0.205,170,Car,OUT_OF_DISTANCE,1029,1199,646.1784731430289,0,
normal_0.204,178,Car,OUT_OF_DISTANCE,1021,1199,684.5956379745107,0,
normal_0.220,15,Car,OUT_OF_DISTANCE,1184,1199,64.72512423799357,0,
normal_1.269,233,Car,OUT_OF_DISTANCE,966,1199,846.906243249645,0,
normal_1.277,149,Car,OUT_OF_DISTANCE,1050,1199,468.740089966003,0,
normal_1.276,152,Car,UNDER_DISTANCE,1047,1199,146.97845298310932,0,
normal_1.279,142,Car,UNDER_DISTANCE,1057,1199,498.40584708229807,0,
normal_1.278,145,Car,IN_DISTANCE,1054,1199,511.23526544233516,0,
normal_1.273,161,Car,OUT_OF_DISTANCE,1038,1199,388.98999502817566,0,
