vehicleId, time, type, last state, creationStep, lastStep, traveledDistance, emergencyBrakes
normal_2.296,78,Car,COLLIDED,1051,1129,7.8201522767098695,0,
normal_0.203,72,Car,OUT_OF_DISTANCE,1127,1199,277.0843446834693,0,
normal_2.295,151,Car,IN_DISTANCE,1048,1199,609.231894325772,0,
normal_0.202,81,Car,OUT_OF_DISTANCE,1118,1199,314.4808480577017,0,
normal_2.294,154,Car,OUT_OF_DISTANCE,1045,1199,623.7988859237834,0,
normal_0.201,84,Car,OUT_OF_DISTANCE,1115,1199,330.4537323274779,0,
normal_2.293,157,Car,OUT_OF_DISTANCE,1042,1199,640.3229527891564,0,
normal_0.200,93,Car,OUT_OF_DISTANCE,1106,1199,366.8609370301144,0,
normal_2.299,140,Car,OUT_OF_DISTANCE,1059,1199,562.1487574467404,0,
normal_2.298,144,Car,OUT_OF_DISTANCE,1055,1199,578.0453222042612,0,
normal_2.297,147,Car,OUT_OF_DISTANCE,1052,1199,594.0367646285109,0,
normal_1.248,253,Car,OUT_OF_DISTANCE,946,1199,1062.8549582917617,0,
normal_2.292,160,Car,IN_DISTANCE,1039,1199,657.7490312755584,0,
normal_1.247,303,Car,OUT_OF_DISTANCE,896,1199,1094.7703603117411,0,
normal_2.291,163,Car,OUT_OF_DISTANCE,1036,1199,671.7742337065969,0,
normal_2.290,165,Car,OUT_OF_DISTANCE,1034,1199,688.2349873957863,0,
normal_1.249,250,Car,OUT_OF_DISTANCE,949,1199,1047.2593844852327,0,
normal_1.255,221,Car,UNDER_DISTANCE,978,1199,137.82263697839548,0,
normal_1.254,224,Car,IN_DISTANCE,975,1199,956.486738041825,0,
normal_1.257,210,Car,OUT_OF_DISTANCE,989,1199,870.5321150289252,0,
normal_1.256,213,Car,OUT_OF_DISTANCE,986,1199,916.7856562408224,0,
normal_1.251,238,Car,IN_DISTANCE,961,1199,1001.6099516766494,0,
normal_1.250,245,Car,OUT_OF_DISTANCE,954,1199,1031.2875125835362,0,
normal_1.253,225,Car,OUT_OF_DISTANCE,974,1199,970.106425142395,0,
normal_1.252,232,Car,UNDER_DISTANCE,967,1199,147.32769188188334,0,
normal_2.285,179,Car,OUT_OF_DISTANCE,1020,1199,762.1892364118191,0,
normal_2.284,182,Car,OUT_OF_DISTANCE,1017,1199,778.9257885097685,0,
normal_2.283,185,Car,OUT_OF_DISTANCE,1014,1199,796.5302340443682,0,
normal_2.282,188,Car,IN_DISTANCE,1011,1199,813.6445798739005,0,
normal_2.289,168,Car,OUT_OF_DISTANCE,1031,1199,703.1013339476642,0,
normal_2.288,171,Car,OUT_OF_DISTANCE,1028,1199,719.2789737362621,0,
normal_2.287,173,Car,UNDER_DISTANCE,1026,1199,735.3797477480896,0,
normal_2.286,176,Car,OUT_OF_DISTANCE,1023,1199,748.3576934827007,0,
normal_1.237,342,Car,OUT_OF_DISTANCE,857,1199,1290.8638321697126,1,
normal_2.281,192,Car,OUT_OF_DISTANCE,1007,1199,827.8394566045079,0,
normal_1.236,345,Car,OUT_OF_DISTANCE,854,1199,1111.1096099061856,0,
normal_2.280,195,Car,IN_DISTANCE,1004,1199,843.9553840416005,0,
normal_1.239,2,Car,COLLIDED,863,865,0.18018596756902108,0,
normal_1.238,5,Car,COLLIDED,860,865,8.333670216048581,0,
normal_1.244,318,Car,OUT_OF_DISTANCE,881,1199,1273.6083383442592,0,
normal_1.243,325,Car,OUT_OF_DISTANCE,874,1199,1323.647731813233,0,
normal_1.246,310,Car,OUT_OF_DISTANCE,889,1199,1015.9160572222119,0,
normal_1.245,314,Car,OUT_OF_DISTANCE,885,1199,1257.1260073501335,0,
normal_1.240,334,Car,IN_DISTANCE,865,1199,986.8263828302552,0,
normal_1.242,327,Car,OUT_OF_DISTANCE,872,1199,1352.2094001425605,0,
normal_1.241,329,Car,UNDER_DISTANCE,870,1199,1120.3383572764408,1,
normal_2.279,197,Car,OUT_OF_DISTANCE,1002,1199,857.7956785923521,0,
normal_0.207,14,Car,OUT_OF_DISTANCE,1185,1199,38.49640857915029,0,
normal_0.206,55,Car,OUT_OF_DISTANCE,1144,1199,196.89733756793362,0,
normal_0.205,61,Car,OUT_OF_DISTANCE,1138,1199,226.27880411510205,0,
normal_0.204,69,Car,OUT_OF_DISTANCE,1130,1199,263.3513285919169,0,
normal_1.269,155,Car,IN_DISTANCE,1044,1199,115.79646564689357,0,
normal_1.277,54,Car,UNDER_DISTANCE,1145,1199,23.696586706336987,0,
normal_1.276,58,Car,UNDER_DISTANCE,1141,1199,34.7374519406019,0,
normal_1.279,50,Car,OUT_OF_DISTANCE,1149,1199,169.6808510329365,0,
normal_1.278,51,Car,IN_DISTANCE,1148,1199,183.7088316971292,0,
normal_1.273,70,Car,IN_DISTANCE,1129,1199,45.442628882471936,0,
normal_1.272,1,Car,COLLIDED,1128,1129,0.0,0,
normal_1.275,64,Car,OUT_OF_DISTANCE,1135,1199,211.84443680687713,0,
normal_1.274,65,Car,OUT_OF_DISTANCE,1134,1199,247.8156297131479,0,
normal_1.271,1,Car,COLLIDED,1051,1052,0.0,0,
normal_1.270,5,Car,COLLIDED,1047,1052,7.955474701185931,0,
normal_1.259,198,Car,OUT_OF_DISTANCE,1001,1199,855.1706323176868,0,
normal_1.258,202,Car,IN_DISTANCE,997,1199,125.79403950379971,0,
normal_1.266,164,Car,UNDER_DISTANCE,1035,1199,81.75368942626793,0,
normal_1.265,170,Car,UNDER_DISTANCE,1029,1199,91.95872793303354,0,
normal_1.268,158,Car,UNDER_DISTANCE,1041,1199,57.54959811489696,0,
normal_1.267,161,Car,IN_DISTANCE,1038,1199,68.65853319289376,0,
normal_1.262,188,Car,OUT_OF_DISTANCE,1011,1199,752.0527877373517,0,
normal_1.261,194,Car,OUT_OF_DISTANCE,1005,1199,782.3905741999733,0,
normal_1.264,176,Car,UNDER_DISTANCE,1023,1199,102.10196953432967,0,
normal_1.263,180,Car,OUT_OF_DISTANCE,1019,1199,737.2762064139481,0,
normal_1.260,197,Car,IN_DISTANCE,1002,1199,112.64195731618861,0,
normal_2.252,352,Car,IN_DISTANCE,847,1199,1221.4853093562017,0,
normal_2.251,355,Car,IN_DISTANCE,844,1199,1223.6255842693436,0,
normal_2.250,357,Car,UNDER_DISTANCE,842,1199,1210.351123674068,0,
normal_2.256,343,Car,UNDER_DISTANCE,856,1199,1114.5443534034414,1,
normal_2.255,345,Car,UNDER_DISTANCE,854,1199,1184.6191122312969,2,
normal_2.254,348,Car,UNDER_DISTANCE,851,1199,1196.1895573039442,0,
normal_2.253,350,Car,IN_DISTANCE,849,1199,1208.1861781661944,0,
normal_1.208,419,Car,FINISHED,730,1149,2582.417654706148,0,
normal_1.207,472,Car,OUT_OF_DISTANCE,727,1199,1307.1269453996533,1,
normal_1.209,425,Car,FINISHED,731,1156,2591.126021865463,0,
normal_1.204,422,Car,FINISHED,707,1129,2588.7767039973146,3,
normal_1.203,497,Car,IN_DISTANCE,702,1199,1605.6883205848385,0,
normal_1.206,473,Car,NO_LEADER,726,1199,1660.6825932225597,2,
normal_1.205,420,Car,FINISHED,721,1141,2570.660867396521,0,
normal_1.211,417,Car,FINISHED,737,1154,2576.129833410616,0,
normal_1.210,464,Car,OUT_OF_DISTANCE,735,1199,1412.7010109046048,2,
normal_1.213,417,Car,FINISHED,740,1157,2556.900083087369,0,
normal_1.212,460,Car,UNDER_DISTANCE,739,1199,1414.1724863526433,1,
normal_2.249,359,Car,UNDER_DISTANCE,840,1199,1246.9723947664606,0,
normal_2.248,366,Car,UNDER_DISTANCE,833,1199,1084.1647738960962,0,
normal_2.247,369,Car,UNDER_DISTANCE,830,1199,1124.8926211883877,0,
normal_2.246,372,Car,UNDER_DISTANCE,827,1199,1147.8410676541048,0,
normal_2.241,433,Car,UNDER_DISTANCE,766,1199,1296.2797303210837,0,
normal_2.240,436,Car,UNDER_DISTANCE,763,1199,1316.9668751194417,0,
normal_2.245,374,Car,NO_LEADER,825,1199,1233.8621480349555,0,
normal_2.244,418,Car,UNDER_DISTANCE,781,1199,1175.7893021950133,0,
normal_2.243,422,Car,UNDER_DISTANCE,777,1199,1138.384041470469,1,
normal_2.242,430,Car,UNDER_DISTANCE,769,1199,1281.5563249329077,0,
normal_1.200,498,Car,FINISHED,685,1183,2582.044760756742,0,
normal_0.19,150,Car,FINISHED,60,210,2582.255297446378,4,
normal_0.18,151,Car,FINISHED,56,207,2582.1944118588585,1,
normal_1.202,500,Car,IN_DISTANCE,699,1199,1844.645558698718,0,
normal_0.17,151,Car,FINISHED,54,205,2571.591764422364,0,
normal_1.201,504,Car,IN_DISTANCE,695,1199,1548.545559379955,1,
normal_0.16,118,Car,COLLIDED,50,168,1896.660360490274,1,
normal_0.15,130,Car,FINISHED,48,178,2555.4925757072665,0,
normal_0.14,148,Car,FINISHED,45,193,2556.2725823432115,1,
normal_0.13,58,Car,COLLIDED,43,101,1468.6154760865788,0,
normal_0.12,122,Car,FINISHED,40,162,2554.823409681264,1,
normal_2.238,443,Car,UNDER_DISTANCE,756,1199,1354.0472007849785,1,
normal_0.11,112,Car,FINISHED,38,150,2590.813401190403,0,
