Version,Timestamp,Simuliertes Scenario,Steps,Flocking,Konsens,Fertige Fahrzeuge,Nicht fertige Fahrzeuge,Emergency Brakes,Kollisionen,min Zeit,avg Zeit,maxZeit,avg Distanz,sum Distanz,UNDER_DISTANCE,IN_DISTANCE,OUT_OF_DISTANCE,NO_LEADER,FLOCKING_DEACTIVATION_COOLDOWN,NEIGHBOR_RADIUS_FOR_TRAFFIC,MAX_MIN_DISTANCE_DIFF,COHESION_MINIMUM_UTILIZATION_OFFSET_ON_NEW_LANE,COHESION_LANE_CHANGE_COOLDOWN,seperationPercentageWhenAligmentAcellarate
eval 4,2024-11-27T21:13:20.628192,ENDE_VON_ZWEI_SPUREN,300,true,true,106,235,222,31,71.0,137.54716981132074,218.0,1442.3317888143397,490392.8081968755,min:1  avg:25.403314917127073  max:114,min:1  avg:23.43732590529248  max:98,min:1  avg:47.80049875311721  max:142,min:1  avg:9.71311475409836  max:77,80.0,40.0,1.2,1.2,10,0.2
eval 4,2024-11-27T21:15:49.274293400,ENDE_VON_ZWEI_SPUREN,300,true,true,110,214,172,35,68.0,127.25454545454545,207.0,1508.1205175646082,488631.0476909331,min:1  avg:23.591836734693878  max:99,min:1  avg:21.294460641399418  max:96,min:1  avg:46.54005167958656  max:139,min:1  avg:9.923728813559322  max:99,80.0,40.0,1.2,1.2,10,0.4
eval 4,2024-11-27T21:18:26.052224500,ENDE_VON_ZWEI_SPUREN,300,true,true,117,236,191,20,70.0,131.5897435897436,255.0,1479.3057025049075,522194.9129842323,min:1  avg:23.870056497175142  max:125,min:1  avg:23.220289855072465  max:93,min:2  avg:49.077319587628864  max:117,min:1  avg:9.4375  max:167,80.0,40.0,1.2,1.2,10,0.6000000000000001
eval 4,2024-11-27T21:20:59.790231300,ENDE_VON_ZWEI_SPUREN,300,true,true,107,234,190,28,69.0,132.94392523364485,198.0,1466.9494234091112,500229.75338250695,min:1  avg:22.374285714285715  max:112,min:1  avg:20.52186588921283  max:103,min:1  avg:51.96192893401015  max:136,min:1  avg:10.401709401709402  max:74,80.0,40.0,1.2,1.2,10,0.8
eval 4,2024-11-27T21:23:31.745488900,ENDE_VON_ZWEI_SPUREN,300,true,true,110,227,168,30,68.0,133.3,194.0,1505.24118396679,505761.0378128415,min:1  avg:24.093484419263458  max:92,min:1  avg:21.18487394957983  max:110,min:1  avg:49.551898734177215  max:122,min:1  avg:9.669354838709678  max:53,80.0,40.0,1.2,1.2,20,0.2
eval 4,2024-11-27T21:26:08.801122700,ENDE_VON_ZWEI_SPUREN,300,true,true,103,232,241,30,70.0,144.0,206.0,1430.1506186840784,477670.3066404822,min:1  avg:25.863247863247864  max:111,min:1  avg:21.665730337078653  max:92,min:1  avg:50.00765306122449  max:122,min:1  avg:9.666666666666666  max:72,80.0,40.0,1.2,1.2,20,0.4
eval 4,2024-11-27T21:28:49.251175,ENDE_VON_ZWEI_SPUREN,300,true,true,109,242,138,22,70.0,135.8440366972477,208.0,1438.3749720756975,504869.61519856984,min:1  avg:27.332386363636363  max:115,min:1  avg:22.37037037037037  max:99,min:2  avg:50.83720930232558  max:123,min:1  avg:9.92741935483871  max:70,80.0,40.0,1.2,1.2,20,0.6000000000000001
eval 4,2024-11-27T21:31:25.058161400,ENDE_VON_ZWEI_SPUREN,300,true,true,101,233,140,28,70.0,140.009900990099,210.0,1452.1305233941814,485011.5948136566,min:1  avg:24.915697674418606  max:119,min:1  avg:22.002949852507374  max:87,min:2  avg:51.54005167958656  max:136,min:1  avg:10.646017699115044  max:86,80.0,40.0,1.2,1.2,20,0.8
eval 4,2024-11-27T21:33:57.663735300,ENDE_VON_ZWEI_SPUREN,300,true,true,107,224,278,34,70.0,144.0841121495327,205.0,1453.9479539028887,479802.8247879533,min:1  avg:26.259365994236312  max:109,min:1  avg:22.084033613445378  max:86,min:2  avg:52.03787878787879  max:139,min:1  avg:9.984  max:70,80.0,40.0,1.2,1.2,30,0.2
eval 4,2024-11-27T21:36:20.586143700,ENDE_VON_ZWEI_SPUREN,300,true,true,113,214,206,31,70.0,127.40707964601769,207.0,1519.8105328808206,496978.04425202834,min:1  avg:21.964601769911503  max:97,min:1  avg:21.21533923303835  max:87,min:2  avg:48.15584415584416  max:127,min:1  avg:9.6015625  max:98,80.0,40.0,1.2,1.2,30,0.4
