vehicleId, time, type, last state, creationStep, lastStep, traveledDistance, emergencyBrakes
normal_2.175,161,Car,NOT_SYNCHRONIZED,438,599,2579.4337352900684,0,
normal_2.174,164,Car,NOT_SYNCHRONIZED,435,599,2646.656160387307,0,
normal_2.173,166,Car,NOT_SYNCHRONIZED,433,599,2705.062854607665,0,
normal_2.172,169,Car,NOT_SYNCHRONIZED,430,599,2535.648906106476,0,
normal_2.179,151,Car,NOT_SYNCHRONIZED,448,599,2234.800839837445,0,
normal_2.178,154,Car,NOT_SYNCHRONIZED,445,599,2361.348575471407,0,
normal_2.177,156,Car,NOT_SYNCHRONIZED,443,599,2422.3247006985785,0,
normal_2.176,159,Car,NOT_SYNCHRONIZED,440,599,2370.2921486816713,0,
normal_1.127,186,Car,FINISHED,320,506,2788.867163238228,0,
normal_2.171,171,Car,FINISHED,428,599,2796.5461923636362,0,
normal_1.126,284,Car,NOT_SYNCHRONIZED,315,599,1224.189332574995,0,
normal_2.170,174,Car,NOT_SYNCHRONIZED,425,599,2651.186678279158,0,
normal_1.129,275,Car,NOT_SYNCHRONIZED,324,599,1167.519164665011,0,
normal_1.128,176,Car,FINISHED,322,498,2775.238625956004,0,
normal_1.134,264,Car,NOT_SYNCHRONIZED,335,599,1089.2718852231706,0,
normal_1.133,176,Car,FINISHED,334,510,2774.0184650688498,0,
normal_1.136,257,Car,NOT_SYNCHRONIZED,342,599,1044.5944756917443,0,
normal_1.135,260,Car,NOT_SYNCHRONIZED,339,599,1058.4270934531046,0,
normal_1.130,273,Car,NOT_SYNCHRONIZED,326,599,1154.6315765876386,0,
normal_1.132,267,Car,NOT_SYNCHRONIZED,332,599,1102.2639841209375,0,
normal_1.131,271,Car,NOT_SYNCHRONIZED,328,599,1140.6245985545552,0,
normal_2.169,174,Car,FINISHED,423,597,2786.77525568456,0,
normal_2.164,176,Car,FINISHED,411,587,2769.2967930199925,0,
normal_2.163,173,Car,FINISHED,409,582,2771.8585947169186,0,
normal_2.162,182,Car,FINISHED,405,587,2796.652317877726,0,
normal_2.161,176,Car,FINISHED,403,579,2792.121375332012,0,
normal_2.168,174,Car,FINISHED,421,595,2778.4215621778426,0,
normal_2.167,180,Car,NOT_SYNCHRONIZED,419,599,2762.548536661261,0,
normal_2.166,171,Car,FINISHED,415,586,2782.908929125679,0,
normal_2.165,184,Car,FINISHED,413,597,2781.482576348012,0,
normal_1.119,95,Car,FINISHED,301,396,2791.598932727046,0,
normal_1.116,305,Car,NOT_SYNCHRONIZED,294,599,1409.447232236439,0,
normal_2.160,177,Car,FINISHED,400,577,2788.696323532424,0,
normal_1.115,309,Car,NOT_SYNCHRONIZED,290,599,1442.3052315584862,0,
normal_1.118,300,Car,NOT_SYNCHRONIZED,299,599,1347.4594486122169,0,
normal_1.117,302,Car,NOT_SYNCHRONIZED,297,599,1371.0884813133728,0,
normal_1.123,290,Car,NOT_SYNCHRONIZED,309,599,1264.4467785614881,0,
normal_1.122,293,Car,NOT_SYNCHRONIZED,306,599,1294.2958106072228,0,
normal_1.125,286,Car,NOT_SYNCHRONIZED,313,599,1239.4787700450531,0,
normal_1.124,288,Car,NOT_SYNCHRONIZED,311,599,1252.691093085163,0,
normal_1.121,96,Car,FINISHED,305,401,2791.253481903751,0,
normal_1.120,296,Car,NOT_SYNCHRONIZED,303,599,1310.7847277294252,0,
normal_2.159,167,Car,FINISHED,398,565,2776.0292669721116,0,
normal_2.158,180,Car,FINISHED,395,575,2779.9003106776386,0,
normal_0.104,291,Car,FINISHED,302,593,2787.5131137310814,0,
normal_2.197,106,Car,NOT_SYNCHRONIZED,493,599,1209.6413044081312,0,
normal_0.103,298,Car,NOT_SYNCHRONIZED,301,599,1326.6257496785383,0,
normal_2.196,109,Car,NOT_SYNCHRONIZED,490,599,1254.9527357222773,0,
normal_0.102,303,Car,NOT_SYNCHRONIZED,296,599,1718.1077970804738,0,
normal_2.195,111,Car,NOT_SYNCHRONIZED,488,599,1299.7541891640071,0,
normal_0.101,304,Car,NOT_SYNCHRONIZED,295,599,1391.6555862183627,0,
normal_2.194,113,Car,NOT_SYNCHRONIZED,486,599,1342.7498818796782,0,
normal_0.100,307,Car,NOT_SYNCHRONIZED,292,599,1426.8583019102282,0,
normal_2.199,101,Car,NOT_SYNCHRONIZED,498,599,1121.2037931558855,0,
normal_2.198,104,Car,NOT_SYNCHRONIZED,495,599,1164.0310194323565,0,
