vehicleId, time, type, last state, creationStep, lastStep, traveledDistance, emergencyBrakes
normal_0.203,104,Car,FINISHED,524,628,2796.048622279345,0,
normal_2.296,112,Car,FINISHED,740,852,2762.6104424931627,0,
normal_0.202,65,Car,COLLIDED,520,585,1684.638858772288,2,
normal_2.295,105,Car,FINISHED,738,843,2763.3154660950195,0,
normal_0.201,105,Car,FINISHED,519,624,2779.0013513215695,2,
normal_2.294,15,Car,COLLIDED,735,750,364.0819150044717,0,
normal_0.200,106,Car,FINISHED,516,622,2783.8687737421596,2,
normal_2.293,108,Car,FINISHED,733,841,2775.6753132833314,2,
normal_2.299,111,Car,FINISHED,748,859,2770.1170979225544,0,
normal_2.298,105,Car,FINISHED,745,850,2794.4450272808326,0,
normal_2.297,110,Car,FINISHED,744,854,2774.217888129823,0,
normal_2.292,107,Car,FINISHED,730,837,2774.4092188276327,1,
normal_2.291,107,Car,FINISHED,728,835,2794.8824984671155,0,
normal_2.290,109,Car,FINISHED,725,834,2777.595771285014,0,
normal_0.214,105,Car,FINISHED,551,656,2777.409110450232,0,
normal_2.285,106,Car,FINISHED,713,819,2773.4421486584574,0,
normal_0.213,104,Car,FINISHED,549,653,2774.1059523764798,1,
normal_2.284,105,Car,COLLIDED,710,815,2721.7478546882676,1,
normal_0.212,103,Car,FINISHED,545,648,2766.7512657694474,0,
normal_2.283,109,Car,FINISHED,709,818,2789.568978716368,0,
normal_0.211,103,Car,FINISHED,543,646,2769.776789525697,0,
normal_2.282,110,Car,COLLIDED,705,815,2730.253349760702,1,
normal_0.210,102,Car,FINISHED,540,642,2785.316595724339,0,
normal_2.289,12,Car,COLLIDED,723,735,289.6158359717143,0,
normal_2.288,104,Car,FINISHED,720,824,2760.392674522153,0,
normal_2.287,109,Car,FINISHED,718,827,2779.5260596829285,0,
normal_2.286,111,Car,FINISHED,715,826,2795.0557215041135,1,
normal_2.281,112,Car,FINISHED,703,815,2767.73805601546,0,
normal_1.479,0,Car,OUT_OF_DISTANCE,1199,1199,0.0,0,
normal_2.280,114,Car,FINISHED,700,814,2776.5185050046075,0,
normal_1.478,2,Car,IN_DISTANCE,1197,1199,46.997817551239244,0,
normal_0.209,108,Car,FINISHED,538,646,2767.907078368557,0,
normal_0.208,37,Car,COLLIDED,535,572,967.1894088203827,0,
normal_2.279,108,Car,FINISHED,699,807,2769.8177072666995,0,
normal_0.207,99,Car,FINISHED,534,633,2772.671747046497,1,
normal_0.206,105,Car,FINISHED,530,635,2786.2189843714627,0,
normal_0.205,109,Car,FINISHED,529,638,2773.0340792548523,0,
normal_0.204,104,Car,FINISHED,525,629,2770.9325910074563,0,
normal_0.225,98,Car,FINISHED,577,675,2790.897334023801,0,
normal_0.224,101,Car,FINISHED,575,676,2773.3321646612367,0,
normal_0.223,105,Car,FINISHED,574,679,2792.403751023275,1,
normal_0.222,62,Car,COLLIDED,571,633,1566.7124066746492,0,
normal_0.221,107,Car,FINISHED,569,676,2782.1264245830725,1,
normal_0.220,100,Car,FINISHED,565,665,2775.827098819347,0,
normal_0.219,104,Car,FINISHED,564,668,2773.711795729051,0,
normal_0.218,48,Car,COLLIDED,560,608,1220.1281833502571,0,
normal_0.217,102,Car,FINISHED,558,660,2764.8956650765163,0,
normal_0.216,103,Car,FINISHED,555,658,2765.9905891278954,0,
normal_0.215,35,Car,COLLIDED,554,589,902.2560779172178,0,
normal_0.236,54,Car,COLLIDED,604,658,1323.06449008125,1,
normal_0.235,104,Car,FINISHED,603,707,2794.0215152649553,0,
normal_0.234,55,Car,COLLIDED,600,655,1346.1525337842347,0,
normal_0.233,10,Car,COLLIDED,598,608,252.77240616822303,0,
normal_0.232,108,Car,FINISHED,595,703,2784.5480644143654,1,
normal_0.231,106,Car,FINISHED,594,700,2792.723575360428,0,
normal_0.230,105,Car,FINISHED,590,695,2768.70520471899,1,
normal_0.229,100,Car,FINISHED,588,688,2775.135822378672,0,
normal_0.228,107,Car,FINISHED,585,692,2791.9305377820992,0,
normal_0.227,106,Car,FINISHED,583,689,2765.0228659775858,0,
normal_0.226,106,Car,FINISHED,579,685,2793.5029960257298,0,
normal_2.252,100,Car,FINISHED,630,730,2792.7321920093486,0,
normal_2.251,107,Car,FINISHED,628,735,2772.164214495284,0,
normal_2.250,99,Car,FINISHED,626,725,2776.4250290017235,0,
normal_2.256,101,Car,FINISHED,640,741,2763.3802543399183,1,
normal_2.255,8,Car,COLLIDED,638,646,191.8918427267816,0,
normal_2.254,101,Car,FINISHED,635,736,2761.4943912557296,1,
normal_2.253,102,Car,FINISHED,633,735,2780.1428707320497,0,
normal_1.449,8,Car,COLLIDED,1123,1131,140.64278554820845,0,
normal_1.446,84,Car,OUT_OF_DISTANCE,1115,1199,1832.5841204413875,0,
normal_1.445,86,Car,OUT_OF_DISTANCE,1113,1199,1798.673554535078,0,
normal_1.448,78,Car,IN_DISTANCE,1121,1199,1627.6257745270134,0,
normal_1.447,80,Car,IN_DISTANCE,1119,1199,1762.4469893854823,0,
normal_1.453,65,Car,OUT_OF_DISTANCE,1134,1199,1306.283046869573,0,
normal_1.452,67,Car,IN_DISTANCE,1132,1199,1422.4458324284096,0,
normal_1.455,61,Car,IN_DISTANCE,1138,1199,1101.412080662583,0,
normal_1.454,63,Car,IN_DISTANCE,1136,1199,1205.018937427528,0,
normal_1.451,71,Car,IN_DISTANCE,1128,1199,1552.2187921945124,0,
normal_1.450,74,Car,UNDER_DISTANCE,1125,1199,1588.7480811004723,0,
normal_2.249,102,Car,FINISHED,623,725,2796.9910981365083,1,
normal_2.248,97,Car,FINISHED,620,717,2792.5369466483667,0,
normal_2.247,101,Car,FINISHED,618,719,2786.1999266507073,0,
normal_2.246,102,Car,FINISHED,615,717,2787.8228418751864,0,
normal_2.241,102,Car,FINISHED,603,705,2772.84529851423,0,
normal_2.240,55,Car,COLLIDED,600,655,1355.7946024379762,1,
normal_2.245,101,Car,FINISHED,613,714,2786.6058148031607,2,
normal_2.244,101,Car,FINISHED,610,711,2788.716393334271,0,
normal_2.243,101,Car,FINISHED,608,709,2762.817246677388,0,
normal_2.242,101,Car,FINISHED,605,706,2795.73566351897,0,
normal_1.439,101,Car,IN_DISTANCE,1098,1199,2368.3062180065263,1,
normal_1.438,104,Car,OUT_OF_DISTANCE,1095,1199,2482.4019964598738,1,
normal_1.435,108,Car,OUT_OF_DISTANCE,1091,1199,2600.831228736822,0,
normal_1.434,98,Car,COLLIDED,1085,1183,2202.850873487895,0,
normal_1.437,48,Car,COLLIDED,1093,1141,925.4405167289395,0,
normal_1.436,107,Car,OUT_OF_DISTANCE,1092,1199,2585.1432941216995,0,
normal_1.442,94,Car,IN_DISTANCE,1105,1199,2241.2910146270983,1,
normal_1.441,96,Car,OUT_OF_DISTANCE,1103,1199,2272.9717445514157,0,
normal_1.444,89,Car,OUT_OF_DISTANCE,1110,1199,2082.471492510957,0,
normal_1.443,90,Car,OUT_OF_DISTANCE,1109,1199,1975.955496308035,0,
normal_1.440,99,Car,OUT_OF_DISTANCE,1100,1199,2415.183656760026,0,
normal_2.238,107,Car,FINISHED,595,702,2794.8605704247775,0,
normal_2.237,104,Car,FINISHED,593,697,2769.9905090558577,0,
normal_2.236,59,Car,COLLIDED,591,650,1439.6640459570049,1,
normal_2.235,102,Car,FINISHED,588,690,2774.708989973508,0,
normal_2.239,10,Car,COLLIDED,598,608,262.1058595403721,0,
normal_2.274,109,Car,FINISHED,685,794,2775.1742936419028,4,
normal_2.273,101,Car,FINISHED,683,784,2790.4818886970556,0,
normal_2.272,105,Car,FINISHED,680,785,2765.022759437836,2,
normal_2.271,110,Car,FINISHED,678,788,2780.2642228114046,0,
normal_2.278,111,Car,FINISHED,695,806,2776.3542577593826,0,
normal_2.277,107,Car,FINISHED,693,800,2770.0655259958353,0,
normal_2.276,112,Car,FINISHED,690,802,2770.742090371242,0,
normal_2.275,106,Car,FINISHED,688,794,2767.5169850941675,0,
