vehicleId, time, type, last state, creationStep, lastStep, traveledDistance, emergencyBrakes
normal_0.203,121,Car,FINISHED,542,663,2770.911455530447,0,
normal_2.296,123,Car,FINISHED,740,863,2762.815270660607,1,
normal_0.202,123,Car,FINISHED,538,661,2790.73642247245,0,
normal_2.295,123,Car,FINISHED,738,861,2761.4763181839953,0,
normal_0.201,9,Car,COLLIDED,536,545,189.59913573208817,0,
normal_2.294,120,Car,FINISHED,735,855,2773.262149062568,1,
normal_0.200,126,Car,FINISHED,531,657,2768.9529320536776,0,
normal_2.293,117,Car,FINISHED,733,850,2788.786557515839,0,
normal_2.299,37,Car,COLLIDED,748,785,844.4464225140499,0,
normal_2.298,117,Car,FINISHED,745,862,2774.0523964474205,1,
normal_2.297,114,Car,FINISHED,743,857,2767.033128890009,0,
normal_2.292,121,Car,FINISHED,730,851,2785.1017465246236,0,
normal_2.291,24,Car,COLLIDED,728,752,530.9907725864309,0,
normal_2.290,15,Car,COLLIDED,725,740,355.4872695001406,0,
normal_0.214,117,Car,FINISHED,569,686,2790.0415394196466,0,
normal_2.285,12,Car,COLLIDED,713,725,294.2763922593331,0,
normal_0.213,126,Car,FINISHED,568,694,2782.5777243474213,0,
normal_2.284,122,Car,FINISHED,710,832,2788.3318094547985,1,
normal_0.212,127,Car,FINISHED,565,692,2773.0338115833024,2,
normal_2.283,72,Car,COLLIDED,708,780,1399.071938675894,0,
normal_0.211,136,Car,FINISHED,564,700,2790.9534303934793,3,
normal_2.282,127,Car,FINISHED,705,832,2775.838269693696,0,
normal_0.210,124,Car,FINISHED,560,684,2796.655004582099,1,
normal_2.289,104,Car,COLLIDED,723,827,2247.8281638066046,1,
normal_2.288,125,Car,FINISHED,720,845,2786.1231475034106,0,
normal_2.287,109,Car,COLLIDED,718,827,2255.95957235748,5,
normal_2.286,127,Car,FINISHED,715,842,2774.315603997159,0,
normal_2.281,118,Car,FINISHED,703,821,2789.723494632752,0,
normal_2.280,124,Car,FINISHED,701,825,2764.2248267547893,0,
normal_1.478,1,Car,OUT_OF_DISTANCE,1198,1199,27.681170301929715,0,
normal_0.209,129,Car,FINISHED,559,688,2770.9690272683238,0,
normal_0.208,122,Car,FINISHED,555,677,2797.1387962253393,1,
normal_2.279,133,Car,FINISHED,699,832,2775.348933741001,0,
normal_0.207,112,Car,FINISHED,553,665,2787.0237516615634,0,
normal_0.206,120,Car,FINISHED,549,669,2792.542988997792,0,
normal_0.205,127,Car,FINISHED,547,674,2783.7380771585367,0,
normal_0.204,116,Car,FINISHED,543,659,2766.4359548871607,0,
normal_0.225,117,Car,FINISHED,600,717,2765.097377202135,0,
normal_0.224,121,Car,FINISHED,597,718,2784.122632104167,1,
normal_0.223,121,Car,FINISHED,595,716,2779.6865127636706,0,
normal_0.222,116,Car,FINISHED,591,707,2781.414453314161,0,
normal_0.221,126,Car,FINISHED,589,715,2783.6807593723565,1,
normal_0.220,120,Car,FINISHED,585,705,2768.645481107454,0,
normal_0.219,122,Car,FINISHED,583,705,2782.0033380286586,0,
normal_0.218,115,Car,FINISHED,579,694,2779.25515068191,0,
normal_0.217,38,Car,COLLIDED,577,615,793.3438011477441,0,
normal_0.216,124,Car,FINISHED,573,697,2779.5212203276305,1,
normal_0.215,120,Car,FINISHED,572,692,2767.954540292706,0,
normal_0.236,122,Car,FINISHED,628,750,2772.276300321674,0,
normal_0.235,57,Car,COLLIDED,626,683,1200.6099120120566,0,
normal_0.234,115,Car,FINISHED,623,738,2783.619834983585,0,
normal_0.233,117,Car,FINISHED,622,739,2762.486506349256,0,
normal_0.232,117,Car,FINISHED,617,734,2790.894174989393,2,
normal_0.231,118,Car,FINISHED,615,733,2782.0998418693925,0,
normal_0.230,124,Car,FINISHED,612,736,2758.901776238151,2,
normal_0.229,117,Car,FINISHED,611,728,2786.14397452177,0,
normal_0.228,31,Car,COLLIDED,607,638,672.891431159296,0,
normal_0.227,33,Car,COLLIDED,605,638,681.1486169826285,0,
normal_0.226,121,Car,FINISHED,601,722,2764.9370143545393,0,
normal_2.252,116,Car,FINISHED,631,747,2767.9842695085113,0,
normal_2.251,120,Car,FINISHED,629,749,2761.2284106954294,0,
normal_2.250,118,Car,FINISHED,625,743,2776.177559154465,0,
normal_2.256,125,Car,FINISHED,642,767,2774.538446958661,0,
normal_2.255,120,Car,FINISHED,638,758,2782.5293504495157,0,
normal_2.254,130,Car,FINISHED,635,765,2786.818438669426,0,
normal_2.253,115,Car,FINISHED,633,748,2781.7824538378177,0,
normal_1.449,76,Car,IN_DISTANCE,1123,1199,1654.8871825508543,0,
normal_1.446,84,Car,OUT_OF_DISTANCE,1115,1199,1793.745239605458,0,
normal_1.445,86,Car,UNDER_DISTANCE,1113,1199,1802.5014047547286,0,
normal_1.448,78,Car,OUT_OF_DISTANCE,1121,1199,1761.6018544094409,0,
normal_1.447,32,Car,COLLIDED,1119,1151,681.8090328972371,1,
normal_1.453,20,Car,COLLIDED,1134,1154,435.9929253307692,1,
normal_1.452,68,Car,IN_DISTANCE,1131,1199,1495.1078009552516,0,
normal_1.455,61,Car,OUT_OF_DISTANCE,1138,1199,1411.7829828159536,0,
normal_1.454,63,Car,IN_DISTANCE,1136,1199,1376.7662528115263,0,
normal_1.451,70,Car,IN_DISTANCE,1129,1199,1508.042202228617,1,
normal_1.450,74,Car,IN_DISTANCE,1125,1199,1568.206628920414,1,
normal_2.249,121,Car,FINISHED,623,744,2767.5475445394704,0,
normal_2.248,115,Car,FINISHED,620,735,2780.8261904208043,0,
normal_2.247,113,Car,FINISHED,618,731,2784.7295277858457,1,
normal_2.246,127,Car,FINISHED,616,743,2777.181309172673,0,
normal_2.241,119,Car,FINISHED,603,722,2785.8443255042625,0,
