Version,Timestamp,Simuliertes Szenario,Steps,Flocking,Fertige Fahrzeuge,Emergency Brakes,Kollisionen,avg Zeit,avg Distanz in Metern,UNDER_DISTANCE,IN_DISTANCE,OUT_OF_DISTANCE,NO_LEADER,Flocking Config
500 steps ohne Konsens mit Alignment,2024-10-03T20:34:42.215609500,DREISPURIGE_AUTOBAHN,500,true,329,448,1,177.3936507936508,3310.6640992836683,min:1  avg:2.673469387755102  max:11,min:1  avg:122.12321428571428  max:308,min:1  avg:68.7409948542024  max:196,min:1  avg:7.994301994301995  max:190,Radius: 10 Spe1: 1.0 Sep2: 1.0
500 steps ohne Konsens mit Alignment,2024-10-03T20:37:49.853747600,DREISPURIGE_AUTOBAHN,500,true,318,349,0,180.48878205128204,3232.4124694062434,min:1  avg:6.4324324324324325  max:45,min:1  avg:100.80890538033395  max:295,min:1  avg:89.30971993410215  max:210,min:1  avg:8.211480362537765  max:158,Radius: 10 Spe1: 1.0 Sep2: 0.8
500 steps ohne Konsens mit Alignment,2024-10-03T20:41:10.031692500,DREISPURIGE_AUTOBAHN,500,true,304,235,0,185.29477020602218,3105.482818604099,min:1  avg:2.6903225806451614  max:10,min:1  avg:90.49378330373001  max:305,min:1  avg:105.99664429530202  max:243,min:1  avg:8.465625  max:150,Radius: 10 Spe1: 1.0 Sep2: 0.6000000000000001
500 steps ohne Konsens mit Alignment,2024-10-03T20:44:45.409607500,DREISPURIGE_AUTOBAHN,500,true,279,204,0,193.63504823151126,2926.119452855239,min:1  avg:3.1533333333333333  max:10,min:1  avg:85.78228782287823  max:309,min:1  avg:122.87737478411053  max:264,min:1  avg:9.085034013605442  max:162,Radius: 10 Spe1: 1.0 Sep2: 0.4000000000000001
500 steps ohne Konsens mit Alignment,2024-10-03T20:48:10.984479400,DREISPURIGE_AUTOBAHN,500,true,240,149,0,197.45833333333334,2790.9356539569553,min:1  avg:9.325153374233128  max:44,min:1  avg:81.47524752475248  max:280,min:1  avg:129.660777385159  max:307,min:1  avg:10.82490272373541  max:170,Radius: 10 Spe1: 1.0 Sep2: 0.20000000000000007
500 steps ohne Konsens mit Alignment,2024-10-03T20:51:42.505066600,DREISPURIGE_AUTOBAHN,500,true,4,14,1,367.85285285285283,2000.832650676371,min:1  avg:65.77678571428571  max:282,min:1  avg:195.5909090909091  max:471,min:1  avg:228.30844155844156  max:486,min:1  avg:78.0  max:353,Radius: 10 Spe1: 1.0 Sep2: 5.551115123125783E-17
500 steps ohne Konsens mit Alignment,2024-10-03T20:54:30.249621400,DREISPURIGE_AUTOBAHN,500,true,325,569,2,178.84235668789808,3301.3686351953183,min:1  avg:2.7259475218658893  max:10,min:1  avg:121.44091710758377  max:304,min:1  avg:69.22452504317789  max:209,min:1  avg:7.870689655172414  max:190,Radius: 10 Spe1: 0.8 Sep2: 1.0
500 steps ohne Konsens mit Alignment,2024-10-03T20:57:35.442770100,DREISPURIGE_AUTOBAHN,500,true,325,322,1,178.40031897926636,3224.2081845582743,min:1  avg:8.659340659340659  max:60,min:1  avg:97.59425493716337  max:282,min:1  avg:85.1  max:206,min:1  avg:7.809941520467836  max:182,Radius: 10 Spe1: 0.8 Sep2: 0.8
500 steps ohne Konsens mit Alignment,2024-10-03T21:00:52.359837,DREISPURIGE_AUTOBAHN,500,true,302,232,0,186.578025477707,3107.0210073283856,min:1  avg:2.836734693877551  max:9,min:1  avg:93.04684684684685  max:304,min:1  avg:107.76288659793815  max:230,min:1  avg:8.476635514018692  max:150,Radius: 10 Spe1: 0.8 Sep2: 0.6000000000000001
500 steps ohne Konsens mit Alignment,2024-10-03T21:04:30.502400700,DREISPURIGE_AUTOBAHN,500,true,284,199,0,189.23923444976077,2947.2845920901673,min:1  avg:3.314516129032258  max:10,min:1  avg:84.25185185185185  max:265,min:1  avg:119.67006802721089  max:266,min:1  avg:8.86970684039088  max:159,Radius: 10 Spe1: 0.8 Sep2: 0.4000000000000001
500 steps ohne Konsens mit Alignment,2024-10-03T21:08:04.709309300,DREISPURIGE_AUTOBAHN,500,true,253,106,0,203.27841845140034,2815.46769054868,min:1  avg:3.408695652173913  max:8,min:1  avg:89.95029821073558  max:292,min:1  avg:141.19662921348313  max:298,min:1  avg:10.104477611940299  max:174,Radius: 10 Spe1: 0.8 Sep2: 0.20000000000000007
500 steps ohne Konsens mit Alignment,2024-10-03T21:11:44.034839700,DREISPURIGE_AUTOBAHN,500,true,13,14,1,358.1887323943662,2058.375794463602,min:1  avg:59.24590163934426  max:263,min:1  avg:209.65400843881858  max:481,min:2  avg:213.30529595015577  max:487,min:1  avg:70.33333333333333  max:358,Radius: 10 Spe1: 0.8 Sep2: 5.551115123125783E-17
500 steps ohne Konsens mit Alignment,2024-10-03T21:14:48.821826700,DREISPURIGE_AUTOBAHN,500,true,341,482,1,177.38924050632912,3318.889360445878,min:1  avg:2.6355685131195337  max:10,min:1  avg:123.04569420035149  max:301,min:1  avg:67.125  max:196,min:1  avg:7.699453551912568  max:162,Radius: 10 Spe1: 0.6000000000000001 Sep2: 1.0
500 steps ohne Konsens mit Alignment,2024-10-03T21:17:54.648065900,DREISPURIGE_AUTOBAHN,500,true,323,378,0,180.01433121019107,3227.359892608031,min:1  avg:6.781456953642384  max:51,min:1  avg:99.92086330935251  max:313,min:1  avg:85.35048231511254  max:200,min:1  avg:7.875739644970414  max:163,Radius: 10 Spe1: 0.6000000000000001 Sep2: 0.8
500 steps ohne Konsens mit Alignment,2024-10-03T21:21:12.082418500,DREISPURIGE_AUTOBAHN,500,true,297,228,0,187.4251592356688,3089.1666328658266,min:1  avg:3.1594202898550723  max:9,min:1  avg:92.3921568627451  max:318,min:1  avg:110.0541012216405  max:234,min:1  avg:8.669871794871796  max:197,Radius: 10 Spe1: 0.6000000000000001 Sep2: 0.6000000000000001
500 steps ohne Konsens mit Alignment,2024-10-03T21:24:39.432989600,DREISPURIGE_AUTOBAHN,500,true,288,244,0,192.52229299363057,2942.9546491968345,min:1  avg:3.357142857142857  max:13,min:1  avg:84.78158844765343  max:288,min:1  avg:124.6059544658494  max:262,min:1  avg:8.62012987012987  max:170,Radius: 10 Spe1: 0.6000000000000001 Sep2: 0.4000000000000001
500 steps ohne Konsens mit Alignment,2024-10-03T21:28:11.257477,DREISPURIGE_AUTOBAHN,500,true,245,135,0,202.55775577557756,2826.343598222562,min:1  avg:3.0393700787401574  max:8,min:1  avg:88.441351888668  max:287,min:1  avg:140.52416356877325  max:302,min:1  avg:10.02661596958175  max:159,Radius: 10 Spe1: 0.6000000000000001 Sep2: 0.20000000000000007
500 steps ohne Konsens mit Alignment,2024-10-03T21:31:47.065863100,DREISPURIGE_AUTOBAHN,500,true,13,6,0,327.5607476635514,1968.263183545051,min:1  avg:60.46524064171123  max:165,min:1  avg:179.43225806451613  max:463,min:1  avg:188.25984251968504  max:487,min:2  avg:122.0625  max:312,Radius: 10 Spe1: 0.6000000000000001 Sep2: 5.551115123125783E-17
500 steps ohne Konsens mit Alignment,2024-10-03T21:34:51.190072100,DREISPURIGE_AUTOBAHN,500,true,342,475,0,178.5857142857143,3323.8561740760106,min:1  avg:2.7522935779816513  max:9,min:1  avg:124.03339191564147  max:297,min:1  avg:67.1413612565445  max:204,min:1  avg:7.87292817679558  max:179,Radius: 10 Spe1: 0.4000000000000001 Sep2: 1.0
500 steps ohne Konsens mit Alignment,2024-10-03T21:38:04.285600600,DREISPURIGE_AUTOBAHN,500,true,320,424,1,179.44568690095846,3255.6708409182675,min:1  avg:5.055384615384615  max:40,min:1  avg:99.15607985480943  max:306,min:1  avg:86.81260096930534  max:213,min:1  avg:7.757396449704142  max:159,Radius: 10 Spe1: 0.4000000000000001 Sep2: 0.8
500 steps ohne Konsens mit Alignment,2024-10-03T21:41:18.458131600,DREISPURIGE_AUTOBAHN,500,true,300,267,2,184.18979266347688,3077.8159839284617,min:1  avg:5.018867924528302  max:30,min:1  avg:89.74733096085409  max:310,min:1  avg:99.97727272727273  max:231,min:1  avg:8.532915360501567  max:164,Radius: 10 Spe1: 0.4000000000000001 Sep2: 0.6000000000000001
500 steps ohne Konsens mit Alignment,2024-10-03T21:44:55.734686400,DREISPURIGE_AUTOBAHN,500,true,283,213,0,193.46337579617835,2929.969914350938,min:1  avg:3.3219178082191783  max:11,min:1  avg:84.85272727272728  max:295,min:1  avg:121.66385135135135  max:264,min:1  avg:8.87  max:169,Radius: 10 Spe1: 0.4000000000000001 Sep2: 0.4000000000000001
