Version,Simuliertes Szenario,Flocking,Fertige Fahrzeuge,Emergency Brakes,Kollisionen,Durchschnittliche Zeit,Durchschnittliche zurückgelegte Distanz in Metern
500 steps ohne Konsens,ENDE_EINER_SPUR,false,20,0,0,132.3,3910.101315030378
500 steps ohne Konsens,ENDE_EINER_SPUR,true,20,0,0,208.1,3916.278402046829
500 steps ohne Konsens,ENDE_EINER_SPUR_GERADE,false,388,0,0,126.64195583596215,1457.7863863823627
500 steps ohne Konsens,ENDE_EINER_SPUR_GERADE,true,497,135,0,66.59938366718028,1537.408339190103
500 steps ohne Konsens,DREISPURIGE_AUTOBAHN,false,269,0,0,193.93528505392914,2915.835376879643
500 steps ohne Konsens,DREISPURIGE_AUTOBAHN,true,270,1599,2,164.72265023112482,2589.5790381613583
500 steps ohne Konsens,CIRCLE,false,499,1117,2,-40.961479198767336,2663.961475037608
500 steps ohne Konsens,CIRCLE,true,627,1129,2,-139.3775038520801,2489.18301352418
500 steps ohne Konsens,BAUSTELLE,false,340,1,2,131.7673343605547,1389.5393835696818
500 steps ohne Konsens,BAUSTELLE,true,344,5,2,83.66255778120185,1109.9908880742837
500 steps ohne Konsens mit Alignment,DREISPURIGE_AUTOBAHN,true,207,1748,1,212.23168654173764,2774.99351433075
500 steps ohne Konsens mit Alignment,DREISPURIGE_AUTOBAHN,true,203,2079,0,214.11282051282052,2773.2910317400983
500 steps ohne Konsens,DREISPURIGE_AUTOBAHN,false,261,0,0,192.10030864197532,2881.0895220464504
500 steps ohne Konsens,DREISPURIGE_AUTOBAHN,true,273,1974,1,161.62345679012347,2604.575318836688
500 steps ohne Konsens,DREISPURIGE_AUTOBAHN,true,204,2088,0,215.53333333333333,2771.03603022541
500 steps ohne Konsens,DREISPURIGE_AUTOBAHN,true,218,2103,0,214.06632653061226,2803.6603052019636
500 steps ohne Konsens,DREISPURIGE_AUTOBAHN,false,273,0,0,176.19474497681608,2948.647552974636
500 steps ohne Konsens,DREISPURIGE_AUTOBAHN,false,274,0,0,187.19905956112854,2984.53172907658
500 steps ohne Konsens xxx,DREISPURIGE_AUTOBAHN,true,253,2211,1,371.25705329153607,2771.673648338569
500 steps ohne Konsens,DREISPURIGE_AUTOBAHN,false,276,0,0,188.396255850234,2959.769236785754
500 steps ohne Konsens yyy,DREISPURIGE_AUTOBAHN,true,204,1992,1,215.44691780821918,2760.9356092267103
500 steps ohne Konsens mit Alignment,DREISPURIGE_AUTOBAHN,false,263,0,0,194.46615384615384,2892.3982400620885
500 steps ohne Konsens mit Alignment,DREISPURIGE_AUTOBAHN,true,201,1952,0,214.54030874785593,2786.436810680851
500 steps ohne Konsens mit Alignment ss,DREISPURIGE_AUTOBAHN,true,351,3241,0,161.80645161290323,3409.5313870771065
500 steps ohne Konsens mit Alignment,DREISPURIGE_AUTOBAHN,true,366,453,4,164.54798761609908,3405.4726648582073
500 steps ohne Konsens mit Alignment,DREISPURIGE_AUTOBAHN,false,242,0,0,193.14125200642056,2880.641126534634
---------------------------------,DREISPURIGE_AUTOBAHN,true,321,668,3,178.244019138756,3262.9397415879553
500 steps ohne Konsens mit Alignment,ENDE_EINER_SPUR,false,20,0,0,129.5,3910.3698639204617
500 steps ohne Konsens mit Alignment,ENDE_EINER_SPUR,true,20,0,0,152.45,3906.804761461851
500 steps ohne Konsens mit Alignment,ENDE_EINER_SPUR,false,20,0,0,121.9,3912.6845721582977
500 steps ohne Konsens mit Alignment,ENDE_EINER_SPUR,true,20,0,0,137.75,3909.443202700682
500 steps ohne Konsens mit Alignment,ENDE_EINER_SPUR_GERADE,false,378,0,0,132.24671052631578,1476.0569430073642
500 steps ohne Konsens mit Alignment,ENDE_EINER_SPUR_GERADE,true,344,100,0,118.19148936170212,1651.0956578264902
500 steps ohne Konsens mit Alignment,ENDE_EINER_SPUR_GERADE,false,367,0,0,136.7956810631229,1480.2615580267118
