Version,Timestamp,Simuliertes Scenario,Steps,Flocking,Konsens,Fertige Fahrzeuge,Nicht fertige Fahrzeuge,Emergency Brakes,Kollisionen,min Zeit,avg Zeit,maxZeit,avg Distanz,sum Distanz,UNDER_DISTANCE,IN_DISTANCE,OUT_OF_DISTANCE,NO_LEADER,FLOCKING_DEACTIVATION_COOLDOWN,NEIGHBOR_RADIUS_FOR_TRAFFIC,MAX_MIN_DISTANCE_DIFF,COHESION_MINIMUM_UTILIZATION_OFFSET_ON_NEW_LANE,COHESION_LANE_CHANGE_COOLDOWN,seperationPercentageWhenAligmentAcellarate
eval 1,2024-11-27T21:11:56.880592600,ENDE_VON_ZWEI_SPUREN,300,true,true,89,232,171,37,70.0,150.01123595505618,214.0,1384.6867755276114,444484.4549443633,min:1  avg:25.464183381088827  max:109,min:1  avg:22.579250720461093  max:103,min:1  avg:47.44670050761421  max:125,min:1  avg:10.294642857142858  max:70,20.0,40.0,1.2,1.2,10,0.2
eval 1,2024-11-27T21:14:43.013433100,ENDE_VON_ZWEI_SPUREN,300,true,true,99,245,130,25,68.0,145.7979797979798,226.0,1403.418624284263,482776.00675378647,min:1  avg:28.828488372093023  max:119,min:1  avg:23.630372492836678  max:93,min:1  avg:52.458015267175576  max:130,min:1  avg:10.930693069306932  max:66,20.0,40.0,1.2,1.2,10,0.4
eval 1,2024-11-27T21:17:36.749013,ENDE_VON_ZWEI_SPUREN,300,true,true,103,242,164,28,68.0,146.75728155339806,207.0,1408.6828974975192,484586.91673914663,min:1  avg:29.036516853932586  max:114,min:1  avg:22.63661971830986  max:105,min:2  avg:55.3609022556391  max:122,min:1  avg:11.25  max:61,20.0,40.0,1.2,1.2,10,0.6000000000000001
eval 1,2024-11-27T21:20:19.804120400,ENDE_VON_ZWEI_SPUREN,300,true,true,107,237,112,26,67.0,144.20560747663552,216.0,1433.8821505489475,491821.577638289,min:1  avg:29.05763688760807  max:128,min:1  avg:22.04335260115607  max:111,min:1  avg:50.51139240506329  max:133,min:1  avg:9.899082568807339  max:98,20.0,40.0,1.2,1.2,10,0.8
eval 1,2024-11-27T21:22:54.962331,ENDE_VON_ZWEI_SPUREN,300,true,true,106,237,161,26,73.0,139.96226415094338,207.0,1436.1290416034594,492592.2612699866,min:1  avg:27.49266862170088  max:124,min:1  avg:23.49854227405248  max:94,min:1  avg:50.61734693877551  max:149,min:1  avg:10.752808988764045  max:87,20.0,40.0,1.2,1.2,20,0.2
eval 1,2024-11-27T21:25:28.543761700,ENDE_VON_ZWEI_SPUREN,300,true,true,103,231,191,28,70.0,142.40776699029126,205.0,1443.6924850088546,480749.5975079486,min:1  avg:26.927325581395348  max:110,min:1  avg:21.579104477611942  max:82,min:1  avg:53.10362694300518  max:135,min:1  avg:9.388349514563107  max:54,20.0,40.0,1.2,1.2,20,0.4
eval 1,2024-11-27T21:28:13.405510600,ENDE_VON_ZWEI_SPUREN,300,true,true,92,244,125,31,68.0,150.3586956521739,204.0,1406.459423067782,471163.90672770696,min:1  avg:28.008849557522122  max:122,min:1  avg:21.8475073313783  max:108,min:1  avg:54.05329949238579  max:143,min:1  avg:11.411111111111111  max:61,20.0,40.0,1.2,1.2,20,0.6000000000000001
eval 1,2024-11-27T21:31:03.683312300,ENDE_VON_ZWEI_SPUREN,300,true,true,95,258,131,19,68.0,145.22105263157894,230.0,1359.3868735249382,478504.1794807782,min:1  avg:32.497058823529414  max:140,min:1  avg:22.04385964912281  max:110,min:2  avg:53.172680412371136  max:139,min:1  avg:10.795698924731182  max:80,20.0,40.0,1.2,1.2,20,0.8
eval 1,2024-11-27T21:33:44.739783600,ENDE_VON_ZWEI_SPUREN,300,true,true,99,228,237,35,66.0,143.1919191919192,210.0,1412.3893224336582,461851.30843580625,min:1  avg:30.502890173410403  max:150,min:1  avg:19.927325581395348  max:107,min:1  avg:51.25126903553299  max:127,min:1  avg:10.588235294117647  max:71,20.0,40.0,1.2,1.2,30,0.2
eval 1,2024-11-27T21:36:23.053546,ENDE_VON_ZWEI_SPUREN,300,true,true,94,229,207,36,71.0,148.09574468085106,218.0,1404.3652564136128,452205.6125651833,min:1  avg:26.595441595441596  max:107,min:1  avg:21.53142857142857  max:95,min:1  avg:50.9719387755102  max:145,min:1  avg:11.824742268041238  max:71,20.0,40.0,1.2,1.2,30,0.4
eval 1,2024-11-27T21:39:05.904187500,ENDE_VON_ZWEI_SPUREN,300,true,true,95,243,129,27,65.0,144.10526315789474,202.0,1397.36013914362,472307.72703054355,min:1  avg:28.202312138728324  max:109,min:1  avg:21.03988603988604  max:97,min:1  avg:55.8560411311054  max:141,min:1  avg:11.411764705882353  max:121,20.0,40.0,1.2,1.2,30,0.6000000000000001
eval 1,2024-11-27T21:41:56.005429800,ENDE_VON_ZWEI_SPUREN,300,true,true,95,252,158,25,70.0,151.34736842105264,233.0,1366.223676688223,474079.6158108133,min:1  avg:28.728813559322035  max:156,min:1  avg:22.304843304843306  max:98,min:2  avg:55.28426395939086  max:148,min:1  avg:10.597938144329897  max:70,20.0,40.0,1.2,1.2,30,0.8
eval 1,2024-11-27T21:44:38.126050900,ENDE_VON_ZWEI_SPUREN,300,true,true,91,249,145,30,70.0,152.47252747252747,229.0,1355.1571724086966,459398.2814465481,min:1  avg:29.266666666666666  max:104,min:1  avg:23.89518413597734  max:83,min:2  avg:49.99238578680203  max:147,min:1  avg:10.52  max:70,20.0,40.0,1.2,1.4,10,0.2
eval 1,2024-11-27T21:47:29.447565400,ENDE_VON_ZWEI_SPUREN,300,true,true,90,256,162,25,68.0,149.76666666666668,223.0,1362.3886348217384,471386.4676483215,min:1  avg:30.593023255813954  max:136,min:1  avg:22.11046511627907  max:125,min:2  avg:51.85532994923858  max:157,min:1  avg:10.166666666666666  max:57,20.0,40.0,1.2,1.4,10,0.4
eval 1,2024-11-27T21:50:12.201990300,ENDE_VON_ZWEI_SPUREN,300,true,true,90,251,116,26,68.0,143.87777777777777,218.0,1371.835246822165,466423.98391953605,min:1  avg:27.51038575667656  max:121,min:1  avg:21.686567164179106  max:104,min:1  avg:53.976863753213365  max:159,min:1  avg:11.557894736842105  max:48,20.0,40.0,1.2,1.4,10,0.6000000000000001
eval 1,2024-11-27T21:52:58.896847100,ENDE_VON_ZWEI_SPUREN,300,true,true,104,239,156,26,70.0,149.28846153846155,223.0,1408.7889056648712,481805.80573738593,min:1  avg:26.788690476190474  max:105,min:1  avg:23.279883381924197  max:133,min:1  avg:55.36061381074169  max:135,min:1  avg:11.595505617977528  max:79,20.0,40.0,1.2,1.4,10,0.8
eval 1,2024-11-27T21:55:55.289842,ENDE_VON_ZWEI_SPUREN,300,true,true,94,233,177,37,71.0,148.87234042553192,213.0,1401.3988856653398,458257.4356125661,min:1  avg:28.458923512747877  max:118,min:1  avg:21.39142857142857  max:85,min:2  avg:50.939546599496225  max:135,min:1  avg:10.174757281553399  max:83,20.0,40.0,1.2,1.4,20,0.2
eval 1,2024-11-27T21:58:48.463857900,ENDE_VON_ZWEI_SPUREN,300,true,true,103,245,169,22,67.0,147.83495145631068,222.0,1425.5209017668813,494655.7529131078,min:1  avg:29.373529411764707  max:123,min:1  avg:23.73469387755102  max:112,min:2  avg:54.339331619537276  max:157,min:1  avg:10.67741935483871  max:95,20.0,40.0,1.2,1.4,20,0.4
eval 1,2024-11-27T22:01:29.224557200,ENDE_VON_ZWEI_SPUREN,300,true,true,99,233,135,33,69.0,143.94949494949495,211.0,1416.8808177256394,468987.5506671867,min:1  avg:26.38953488372093  max:104,min:1  avg:23.91715976331361  max:94,min:1  avg:49.83206106870229  max:122,min:1  avg:10.233009708737864  max:57,20.0,40.0,1.2,1.4,20,0.6000000000000001
eval 1,2024-11-27T22:04:05.449971800,ENDE_VON_ZWEI_SPUREN,300,true,true,103,235,152,31,70.0,139.75728155339806,208.0,1415.9887048805333,477188.19354473974,min:1  avg:24.60458452722063  max:109,min:1  avg:21.441860465116278  max:83,min:1  avg:52.40954773869347  max:125,min:1  avg:9.598039215686274  max:70,20.0,40.0,1.2,1.4,20,0.8
eval 1,2024-11-27T22:07:02.006451100,ENDE_VON_ZWEI_SPUREN,300,true,true,99,244,144,29,71.0,152.94949494949495,222.0,1401.9100884837237,479453.2502614335,min:1  avg:30.929378531073446  max:130,min:1  avg:23.689944134078214  max:131,min:1  avg:52.84461152882206  max:144,min:1  avg:10.670103092783505  max:71,20.0,40.0,1.2,1.4,30,0.2
eval 1,2024-11-27T22:09:43.945543800,ENDE_VON_ZWEI_SPUREN,300,true,true,96,243,144,28,71.0,143.375,213.0,1405.0869060585462,474919.3742477886,min:1  avg:28.450581395348838  max:112,min:1  avg:24.394736842105264  max:124,min:2  avg:51.62724935732648  max:130,min:1  avg:11.221052631578948  max:101,20.0,40.0,1.2,1.4,30,0.4
eval 1,2024-11-27T22:12:25.778962900,ENDE_VON_ZWEI_SPUREN,300,true,true,96,253,122,22,71.0,152.92708333333334,217.0,1365.7062255034107,475265.7664751869,min:1  avg:30.027027027027028  max:148,min:1  avg:20.958702064896755  max:108,min:1  avg:56.248081841432224  max:148,min:1  avg:11.381443298969073  max:71,20.0,40.0,1.2,1.4,30,0.6000000000000001
eval 1,2024-11-27T22:15:13.006411,ENDE_VON_ZWEI_SPUREN,300,true,true,103,257,124,19,73.0,147.41747572815535,232.0,1380.930445527857,495754.0299445007,min:1  avg:32.064896755162245  max:132,min:1  avg:21.21875  max:123,min:1  avg:54.90886075949367  max:142,min:1  avg:11.326732673267326  max:105,20.0,40.0,1.2,1.4,30,0.8
eval 1,2024-11-27T22:17:53.012127700,ENDE_VON_ZWEI_SPUREN,300,true,true,95,233,208,32,68.0,143.8421052631579,219.0,1392.7482508272938,456821.42627135233,min:1  avg:28.06489675516224  max:115,min:1  avg:19.90615835777126  max:89,min:1  avg:53.25575447570333  max:132,min:1  avg:10.24561403508772  max:68,20.0,40.0,1.2,1.5999999999999999,10,0.2
eval 1,2024-11-27T22:20:22.809659200,ENDE_VON_ZWEI_SPUREN,300,true,true,98,214,153,39,68.0,142.42857142857142,217.0,1464.9094609301446,455586.842349275,min:1  avg:26.109467455621303  max:120,min:1  avg:19.52212389380531  max:101,min:1  avg:50.24547803617571  max:146,min:1  avg:10.145833333333334  max:92,20.0,40.0,1.2,1.5999999999999999,10,0.4
eval 1,2024-11-27T22:23:05.084829500,ENDE_VON_ZWEI_SPUREN,300,true,true,99,237,145,28,78.0,146.83838383838383,215.0,1414.1602697457345,473743.69036482106,min:1  avg:27.637462235649547  max:105,min:1  avg:23.533333333333335  max:106,min:1  avg:52.86340206185567  max:144,min:1  avg:10.174757281553399  max:84,20.0,40.0,1.2,1.5999999999999999,10,0.6000000000000001
eval 1,2024-11-27T22:25:43.361702800,ENDE_VON_ZWEI_SPUREN,300,true,true,102,218,168,35,70.0,139.18627450980392,210.0,1459.85574091676,467153.83709336317,min:1  avg:25.56508875739645  max:86,min:1  avg:22.303303303303302  max:110,min:1  avg:52.28051948051948  max:132,min:1  avg:10.330357142857142  max:71,20.0,40.0,1.2,1.5999999999999999,10,0.8
