Version,Timestamp,Simuliertes Szenario,Steps,Flocking,Fertige Fahrzeuge,Emergency Brakes,Kollisionen,avg Zeit,avg Distanz in Metern,UNDER_DISTANCE,IN_DISTANCE,OUT_OF_DISTANCE,NO_LEADER,Flocking Config
500 steps ohne Konsens mit Alignment,2024-10-04T14:16:14.470397200,DREISPURIGE_AUTOBAHN,500,false,247,0,0,196.23923444976077,2835.730058448594,min:-1  avg:-1.0  max:-1,min:-1  avg:-1.0  max:-1,min:-1  avg:-1.0  max:-1,min:-1  avg:-1.0  max:-1,Radius: 70 Spe1: 0.9 Sep2: 0.7
500 steps ohne Konsens mit Alignment,2024-10-04T14:50:50.579365900,DREISPURIGE_AUTOBAHN,500,true,322,291,0,182.84152139461173,3222.216517377405,min:1  avg:2.58128078817734  max:9,min:1  avg:100.08587786259542  max:296,min:1  avg:104.78745644599303  max:215,min:1  avg:7.702702702702703  max:181,Radius: 100 Spe1: 0.6 Sep2: 0.7
500 steps ohne Konsens mit Alignment,2024-10-04T14:57:20.192808900,DREISPURIGE_AUTOBAHN,500,true,322,267,0,182.2114467408585,3231.748872739914,min:1  avg:2.642857142857143  max:9,min:1  avg:96.510556621881  max:302,min:1  avg:106.96187175043327  max:209,min:1  avg:7.388059701492537  max:184,Radius: 120 Spe1: 0.9 Sep2: 0.7
500 steps ohne Konsens mit Alignment,2024-10-04T15:01:50.495602600,DREISPURIGE_AUTOBAHN,500,true,321,213,0,181.64612954186413,3156.221817689638,min:1  avg:2.950310559006211  max:10,min:1  avg:95.66737739872069  max:283,min:1  avg:116.9567474048443  max:222,min:1  avg:7.057057057057057  max:189,Radius: 120 Spe1: 0.6 Sep2: 0.6
500 steps ohne Konsens mit Alignment,2024-10-04T15:06:59.277495500,DREISPURIGE_AUTOBAHN,500,true,309,195,0,184.69952305246423,3135.673213385359,min:1  avg:2.8905109489051095  max:10,min:1  avg:98.13852813852814  max:291,min:1  avg:119.0104347826087  max:230,min:1  avg:7.255451713395638  max:195,Radius: 120 Spe1: 0.6 Sep2: 0.6
500 steps ohne Konsens mit Alignment,2024-10-04T15:10:51.588837400,DREISPURIGE_AUTOBAHN,500,true,325,232,0,181.93977812995246,3233.4033623494906,min:1  avg:2.723926380368098  max:9,min:1  avg:100.63391136801542  max:296,min:1  avg:103.61937716262976  max:213,min:1  avg:7.485294117647059  max:169,Radius: 120 Spe1: 0.7 Sep2: 0.7
500 steps ohne Konsens mit Alignment,2024-10-04T15:18:50.463308500,DREISPURIGE_AUTOBAHN,500,true,301,202,0,188.76862123613313,3049.994177475079,min:1  avg:2.906474820143885  max:10,min:1  avg:95.02083333333333  max:272,min:1  avg:131.58854166666666  max:245,min:1  avg:6.838006230529595  max:180,Radius: 120 Spe1: 0.5 Sep2: 0.5
500 steps ohne Konsens mit Alignment,2024-10-04T15:22:54.799786300,DREISPURIGE_AUTOBAHN,500,true,310,253,0,186.01907790143085,3123.898750770766,min:1  avg:2.608974358974359  max:8,min:1  avg:99.3178947368421  max:302,min:1  avg:116.71304347826087  max:230,min:1  avg:8.123456790123457  max:153,Radius: 100 Spe1: 0.6 Sep2: 0.6
XXXXX,2024-10-04T15:26:54.705744,DREISPURIGE_AUTOBAHN,500,true,311,251,0,183.83201267828844,3150.279396158423,min:1  avg:2.5952380952380953  max:8,min:1  avg:89.18872017353578  max:263,min:1  avg:125.05344827586207  max:229,min:1  avg:6.919504643962848  max:165,Radius: 150 Spe1: 0.6 Sep2: 0.6
500 steps ohne Konsens mit Alignment,2024-10-04T15:31:22.460902600,DREISPURIGE_AUTOBAHN,500,true,308,252,0,186.28006329113924,3138.111885213801,min:1  avg:2.7604790419161676  max:10,min:1  avg:91.87157894736842  max:283,min:1  avg:125.1794425087108  max:231,min:1  avg:6.624605678233438  max:199,Radius: 130 Spe1: 0.6 Sep2: 0.6
500 steps ohne Konsens mit Alignment,2024-10-04T15:34:50.134963800,DREISPURIGE_AUTOBAHN,500,true,307,282,0,186.84285714285716,3144.8548760969848,min:1  avg:2.775147928994083  max:9,min:1  avg:92.04291845493562  max:273,min:2  avg:126.46341463414635  max:233,min:1  avg:6.570977917981073  max:194,Radius: 130 Spe1: 0.6 Sep2: 0.6
500 steps ohne Konsens mit Alignment,2024-10-04T15:38:34.164736500,DREISPURIGE_AUTOBAHN,500,true,317,215,0,181.78041074249606,3156.444550081189,min:1  avg:2.7232704402515724  max:10,min:1  avg:95.36886993603412  max:282,min:1  avg:116.83304647160068  max:225,min:1  avg:7.096969696969697  max:156,Radius: 120 Spe1: 0.6 Sep2: 0.6
500 steps ohne Konsens mit Alignment,2024-10-04T15:42:37.377252600,DREISPURIGE_AUTOBAHN,500,true,318,210,0,182.29968454258676,3160.3463967766124,min:1  avg:3.107594936708861  max:12,min:1  avg:97.08658008658008  max:296,min:1  avg:117.86332179930795  max:224,min:1  avg:7.2792792792792795  max:153,Radius: 120 Spe1: 0.6 Sep2: 0.6
500 steps ohne Konsens mit Alignment,2024-10-04T15:46:50.538217600,DREISPURIGE_AUTOBAHN,500,true,312,230,0,183.64668769716087,3140.193908650761,min:1  avg:3.0545454545454547  max:10,min:1  avg:95.60365853658537  max:294,min:1  avg:115.02413793103449  max:227,min:1  avg:7.572727272727272  max:175,Radius: 110 Spe1: 0.6 Sep2: 0.6
3.0,2024-10-04T15:50:46.925601,DREISPURIGE_AUTOBAHN,500,true,310,234,0,183.41838351822503,3138.931736450632,min:1  avg:3.01840490797546  max:9,min:1  avg:96.1304347826087  max:298,min:1  avg:115.62847222222223  max:229,min:1  avg:7.842105263157895  max:180,Radius: 110 Spe1: 0.6 Sep2: 0.6
