Version,Timestamp,Simuliertes Szenario,Steps,Flocking,Fertige Fahrzeuge,Emergency Brakes,Kollisionen,avg Zeit,avg Distanz in Metern,UNDER_DISTANCE,IN_DISTANCE,OUT_OF_DISTANCE,NO_LEADER,Flocking Config
3.0,2024-10-08T11:24:13.314347100,ENDE_EINER_SPUR,300,true,178,18,11,106.37,1659.9712947795738,min:1  avg:6.705607476635514  max:26,min:1  avg:49.40643274853801  max:132,min:1  avg:59.11734693877551  max:138,min:1  avg:6.6063829787234045  max:122,Radius: 500 Cooldown: 10 MinOffset: 1.4
3.0,2024-10-08T11:26:51.330666,ENDE_EINER_SPUR,300,true,161,56,4,119.49864498644986,1650.6045906828845,min:1  avg:10.086206896551724  max:47,min:1  avg:43.800586510263926  max:106,min:1  avg:70.40821917808219  max:151,min:1  avg:7.542857142857143  max:120,Radius: 500 Cooldown: 10 MinOffset: 1.5
3.0,2024-10-08T11:29:36.271473,ENDE_EINER_SPUR,300,true,168,34,2,118.77748691099477,1553.4171874311887,min:1  avg:10.623430962343097  max:45,min:1  avg:43.46478873239437  max:113,min:1  avg:70.44117647058823  max:170,min:1  avg:7.05  max:139,Radius: 500 Cooldown: 10 MinOffset: 1.6
3.0,2024-10-08T11:32:36.810439900,ENDE_EINER_SPUR,300,true,168,43,10,115.3023872679045,1571.6799347381573,min:1  avg:11.836363636363636  max:43,min:1  avg:41.31547619047619  max:93,min:1  avg:69.77358490566037  max:160,min:1  avg:6.840425531914893  max:122,Radius: 500 Cooldown: 10 MinOffset: 1.7000000000000002
3.0,2024-10-08T11:35:52.259244500,ENDE_EINER_SPUR,300,true,179,22,9,109.555,1641.2855051706397,min:1  avg:6.323529411764706  max:23,min:1  avg:53.36607142857143  max:121,min:1  avg:60.02295918367347  max:128,min:1  avg:6.818181818181818  max:123,Radius: 500 Cooldown: 10 MinOffset: 1.8000000000000003
3.0,2024-10-08T11:39:23.902240700,ENDE_EINER_SPUR,300,true,177,33,8,109.9769820971867,1616.1221637780325,min:1  avg:7.783410138248848  max:25,min:1  avg:44.58997050147492  max:100,min:1  avg:65.40885416666667  max:130,min:1  avg:6.721052631578948  max:116,Radius: 500 Cooldown: 20 MinOffset: 1.4
3.0,2024-10-08T11:42:59.593772900,ENDE_EINER_SPUR,300,true,177,28,4,113.3913043478261,1588.7085199278479,min:1  avg:10.469565217391304  max:51,min:1  avg:48.00906344410876  max:102,min:1  avg:66.90860215053763  max:141,min:1  avg:7.196808510638298  max:116,Radius: 500 Cooldown: 20 MinOffset: 1.5
3.0,2024-10-08T11:46:29.015260100,ENDE_EINER_SPUR,300,true,162,44,4,122.10164835164835,1570.813150631188,min:1  avg:14.776785714285714  max:61,min:1  avg:40.494082840236686  max:98,min:2  avg:73.78991596638656  max:162,min:1  avg:7.380681818181818  max:129,Radius: 500 Cooldown: 20 MinOffset: 1.6
3.0,2024-10-08T11:49:55.464819600,ENDE_EINER_SPUR,300,true,180,28,3,113.49370277078086,1632.3520718093869,min:1  avg:7.814159292035399  max:27,min:1  avg:49.68985507246377  max:93,min:1  avg:65.59424083769633  max:122,min:1  avg:7.0  max:117,Radius: 500 Cooldown: 20 MinOffset: 1.7000000000000002
3.0,2024-10-08T11:53:32.567779100,ENDE_EINER_SPUR,300,true,166,53,8,115.37007874015748,1623.9237869833266,min:1  avg:10.5  max:37,min:1  avg:40.96927374301676  max:98,min:1  avg:68.33155080213903  max:147,min:1  avg:7.14207650273224  max:116,Radius: 500 Cooldown: 20 MinOffset: 1.8000000000000003
